"Measure_L1","Measure_L2","Measure_L3","Measure_L4"
"Social distancing","Special measures for certain establishments","Prisons and youth detention centers","Moratorium on admissions to mitigate the spread of Covid-19"
"Social distancing","Special measures for certain establishments","Prisons and youth detention centers","No more admissions"
"Social distancing","Special measures for certain establishments","Prisons and youth detention centers","Reduction of visits"
"Social distancing","Special measures for certain establishments","Prisons and youth detention centers","Stop intake and transfer of prisoners"
"Social distancing","Special measures for certain establishments","Prisons and youth detention centers","Summons in lieu of arrest"
"Social distancing","Special measures for certain establishments","Prisons and youth detention centers","Suspend certain regulatory statutes"
"Social distancing","Special measures for certain establishments","Prisons and youth detention centers","Visit restriction in prisons and youth detention centers"
"Social distancing","Special measures for certain establishments","Public utility companies","customer service restricted to online and telephone calls"
"Social distancing","Special measures for certain establishments","Residential social institutions",""
"Social distancing","Special measures for certain establishments","Restaurants","Can open if < 50 persons"
"Social distancing","Special measures for certain establishments","Restaurants","Can open if respect social distancing measures"
"Social distancing","Special measures for certain establishments","Restaurants","Can still operate at 1/3 capacity"
"Social distancing","Special measures for certain establishments","Restaurants","Can still operate at 50 per cent capacity"
"Social distancing","Special measures for certain establishments","Restaurants","Ease legislation on deliveries and take-away"
"Social distancing","Special measures for certain establishments","Restaurants","Only delivery"
"Social distancing","Special measures for certain establishments","Restaurants","Only take-away or delivery"
"Social distancing","Special measures for certain establishments","Restaurants","Temperature check at entrance "
"Social distancing","Special measures for certain establishments","Restriction in number of people in child care settings",""
"Social distancing","Special measures for certain establishments","Short-term accommodation: partial closure","At maximum fifty percent occupancy"
"Social distancing","Special measures for certain establishments","Sports centres with indoor facilities","Can open if respect social distancing measures"
"Social distancing","Special measures for certain establishments","Sports centres with indoor facilities","Open if distance + cleaning respected"
"Social distancing","Special measures for certain establishments","Touristic places","Anti-epidemic measures for crowd control"
"Social distancing","Special measures for certain establishments","Veterinary clinics","Allow telemedicine for pets"
"Social distancing","Work safety protocols","Health screening before entering workplace",""
"Social distancing","Work safety protocols","Implement protocols for prevention of contamination at workplace","Between trade unions and companies"
"Social distancing","Work safety protocols","Implement protocols for prevention of contamination at workplace","For social workers"
"Social distancing","Work safety protocols","Implement social distancing at workplace","Implement the 2m distance at workplace"
"Social distancing","Work safety protocols","Implement social distancing at workplace","Quarantine workers do not come back to workplace"
"Social distancing","Work safety protocols","Implement social distancing workplace","Ban on non-critical in-person meetings"
"Social distancing","Work safety protocols","Use of PPE at workplace","Mandatory gloves for employees, access to hand sanitizers, and 1.5 m distance"
"Social distancing","Work safety protocols","Use of PPE at workplace","Workers in public transports"
"Travel restriction","Airport restriction","Airports closed",""
"Travel restriction","Airport restriction","Airports closed","2 airports"
"Travel restriction","Airport restriction","Airports closed","Deny commercial passenger flights, only authorized with cargo and humanitarian aid"
"Travel restriction","Airport restriction","Airports closed","Total, exception flights repatriating citizens or transporting goods"
"Travel restriction","Airport restriction","Ban on all air traffic from countries outside the European Union",""
"Travel restriction","Airport restriction","Boarding from Taiwan prohibited","No boarding from Taiwan"
"Travel restriction","Airport restriction","Cancellation of domestic flights",""
"Travel restriction","Airport restriction","Cancellation of domestic flights","Restricted domestic flights : Balearic Islands"
"Travel restriction","Airport restriction","Cancellation of domestic flights","Restricted domestic flights : Canary Islands"
"Travel restriction","Airport restriction","Cancellation of international flights",""
"Travel restriction","Airport restriction","Cancellation of international flights","All"
"Travel restriction","Airport restriction","Cancellation of international flights","Except for humanitarian and medical transport"
"Travel restriction","Airport restriction","Cancellation of international flights","Four domestic flights maintained"
"Travel restriction","Airport restriction","Cancellation of international flights","From Italy and Spain"
"Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of flights: Honk-Kong"
"Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of flights: Shanghai"
"Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights"
"Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights : high-risk areas"
"Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: Asian countries"
"Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: Azerbaijan"
"Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: China"
"Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: China and Korea"
"Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: commercial flights"
"Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: France and Germany"
"Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: France, l’Espagne, la Belgique, Italie,Portugal, Algérie, Tunisie"
"Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: Greece"
"Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: high-risk areas"
"Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: High risk areas"
"Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: Hong Kong"
"Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: Hong Kong and Macau"
"Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: Iran"
"Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: Italy"
"Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: Italy, France, Spain, Germany, Austria, Belgium, Switzerland, UK, Netherlands, Turkey"
"Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: Italy, Spain"
"Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: Japan"
"Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: Nanjing and Beijing"
"Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: Northern Italy"
"Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: Northern Italy and Israel"
"Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: South Korea"
"Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: South Korea, Iran and Northern Italy"
"Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: South Korea, Thailand and Italy"
"Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: Spain"
"Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: United Kingdom"
"Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: Wuhan and Hubei"
"Travel restriction","Airport restriction","Cancellation of international flights","Partial: Brazil other than Rio de Janeiro and Sao Paulo"
"Travel restriction","Airport restriction","Cancellation of international flights","Partial: countries outside the EU/EEA, except for the UK, US, Canada, Venezuela, South Africa, and Portuguese speaking countries"
"Travel restriction","Airport restriction","Cancellation of international flights","To and from Spain"
"Travel restriction","Airport restriction","Cancellation of international flights","Total"
"Travel restriction","Airport restriction","Cancellation of international flights","Total: Last regular AUA flight lands in Vienna"
"Travel restriction","Airport restriction","Conditional entry of citizens and EU citizens","14 day home quarantine"
"Travel restriction","Airport restriction","Conditional entry of citizens and EU citizens","Home quarantine or negative PCR test"
"Travel restriction","Airport restriction","Entry ban to passengers from high-risk areas other than China","All countries, if feeling unwell"
"Travel restriction","Airport restriction","Entry ban to passengers from high-risk areas other than China","No boarding from Taiwan"
"Travel restriction","Airport restriction","Entry ban to passengers from non EU countries",""
"Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from  Austria, Belgium, Switzerland, France, Italy, Germany, Iran, UK, Netherlands, Spain, USA, Turkey"
"Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from Afghanistan, Philippines, Malaysia"
"Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from Austria, Belgium, Switzerland, USA, UK, Netherlands, Turkey, Iran"
"Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from Belgium, France, Iran, Italy, UK, Netherlands, Spain, USA, Turkey"
"Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from China"
"Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from China, Iran, Italy, Switzerland, France, Spain, the United Kingdom, the Netherlands, Russia and Ukraine"
"Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from Doha/Qatar"
"Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from European Union, the European Free Trade Association, Turkey and United Kingdom"
"Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from France, Germany"
"Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from Germany and France"
"Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from Hubei"
"Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from Iran"
"Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from Iran, South Korea and flights from the northern Italian airports"
"Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from Italy"
"Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from Italy, China, South Korea and Iran"
"Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from Italy, South Korea"
"Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from Philippines, India, Egypt, Syria, Sri Lanka and Lebanon."
"Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from South Korea"
"Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from South Korea and Italy"
"Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from South Korea and Northern Italy"
"Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from South Korea, Iran, and high-risk areas in Italy"
"Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from South Korea, Lombardy, Veneto, Emilia Romaga"
"Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from Spain"
"Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from Spain, France, Switzerland"
"Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from UK, Turkey"
"Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from Wuhan"
"Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","China"
"Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","From northern Italy: only 2 airports"
"Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Persons with a travel history in the past 14 days in those regions are banned from landing: China, South Korea, Italy, San Marino, Switzerland, Spain, Iceland, Iran + Foreigners who have Chinese passports issued in Hubei Province or Zhejiang Province of the People's Republic of China + Foreigners who were on the cruise ship Westerdam, departed from Hong Kong"
"Travel restriction","Airport restriction","Measures to limit contact to high risk populations","Prohibition for individuals over 60 or Individuals that have heart, lung, or kidney disease, or have compromised immune systems to fly on an airplane"
"Travel restriction","Airport restriction","Some airports dedicated to receive international flights","Americans returning from restricted countries must travel through one of 13 listed airports"
"Travel restriction","Airport restriction","Some airports dedicated to receive international flights","For incomings from Germany, France, Italy, Austria, Spain"
"Travel restriction","Airport restriction","Some airports dedicated to receive international flights","International flights to Canada from outside the Caribbean, Mexico, and the U.S. were instructed to land at only one of four airports: Calgary International Airport, Montreal Trudeau International Airport, Toronto Pearson International Airport, and Vancouver International Airport"
"Travel restriction","Airport restriction","Transiting Taiwan by air not allowed",""
"Travel restriction","Border restriction","",""
"Travel restriction","Border restriction","Ban on passenger transport from China","Busses from China"
"Travel restriction","Border restriction","Ban on passenger transport from China","Trains from China"
"Travel restriction","Border restriction","Ban on road passenger transport from high risk areas","Passengers from Austria, Belgium, Switzerland, France, Germany, Italy,  Iran, UK, Netherlands, Spain,Turkey"
"Travel restriction","Border restriction","Border control",""
"Travel restriction","Border restriction","Border control","Germany and Czechia"
"Travel restriction","Border restriction","Border control","Land border controls"
"Travel restriction","Border restriction","Border control","Restrict entry by land and by air from Italy, France, Germany, Austria and Spain, and non-Schengen States"
"Travel restriction","Border restriction","Border control","Restrictions at land and sea borders"
"Travel restriction","Border restriction","Border control","Russia, Belarus, Ukraine, Lithuania and Slovakia"
"Travel restriction","Border restriction","Close land border to prevent virus spread","Bangladesh and Myanmar"
"Travel restriction","Border restriction","Close land border to prevent virus spread","Bangladesh, Nepal, Bhutan and Myanmar"
"Travel restriction","Border restriction","Conditional entry of citizens","Home quarantine or negative PCR test"
"Travel restriction","Border restriction","Conditional entry of persons from neighboring countries","Negative PCR test"
"Travel restriction","Border restriction","Conditional entry of persons from neighboring countries","Negative PCR test < 4 days"
"Travel restriction","Border restriction","Entry ban for symptomatic people and case contacts",""
"Travel restriction","Border restriction","Entry ban to infected persons",""
"Travel restriction","Border restriction","Entry ban to non-citizens",""
"Travel restriction","Border restriction","Entry ban to non-citizens","All existing visas, except diplomatic, official, UN/International Organizations, employment, project visas, stand suspended till 15th April 2020"
"Travel restriction","Border restriction","Entry ban to non-citizens","All foreign tourists"
"Travel restriction","Border restriction","Entry ban to non-citizens","all non-citizens of EEA or Switzerland with exceptions for essential travel"
"Travel restriction","Border restriction","Entry ban to non-citizens","All tourists"
"Travel restriction","Border restriction","Entry ban to non-citizens","Borders open for goods"
"Travel restriction","Border restriction","Entry ban to non-citizens","Coming from all countries except mainland China"
"Travel restriction","Border restriction","Entry ban to non-citizens","Entry ban to the EU via Sweden applies to non-EU citizens"
"Travel restriction","Border restriction","Entry ban to non-citizens","except EU/EEA, EFTA or UK nationals"
"Travel restriction","Border restriction","Entry ban to non-citizens","Exceptions for some categories of foreign nationals"
"Travel restriction","Border restriction","Entry ban to non-citizens","Maritime, Airport borders"
"Travel restriction","Border restriction","Entry ban to non-citizens","Non-citizens traveling from high-risk area"
"Travel restriction","Border restriction","Entry ban to non-citizens","Not resident in the country"
"Travel restriction","Border restriction","Entry ban to non-citizens","only exceptional cases allowed"
"Travel restriction","Border restriction","Entry ban to non-citizens","Restrictions on international passenger traffic through Land Check Posts"
"Travel restriction","Border restriction","Entry ban to non-citizens","With grounded exceptions"
"Travel restriction","Border restriction","Entry ban to non EU citizens",""
"Travel restriction","Border restriction","Entry ban to people from China",""
"Travel restriction","Border restriction","Entry ban to people from China","China"
"Travel restriction","Border restriction","Entry ban to people from China","China: Transit visas are no longer issued for Chinese nationals."
"Travel restriction","Border restriction","Entry ban to people from China","China: Visas of any kind are no longer issued for Chinese nationals. "
"Travel restriction","Border restriction","Entry ban to people from China","Chinese national"
"Travel restriction","Border restriction","Entry ban to people from China","Existing visas (including eVisa already issued) are no longer valid for any foreign national travelling from China."
"Travel restriction","Border restriction","Entry ban to people from China","Hong kong and Macau residents"
"Travel restriction","Border restriction","Entry ban to people from China","Hong Kong, Macau, China"
"Travel restriction","Border restriction","Entry ban to people from China","Hubei"
"Travel restriction","Border restriction","Entry ban to people from China","Wuhan"
"Travel restriction","Border restriction","Entry ban to people from China","Wuhan and Hubei"
"Travel restriction","Border restriction","Entry ban to people from high-risk areas other than China",""
"Travel restriction","Border restriction","Entry ban to people from high-risk areas other than China","21 European countries and Iran"
"Travel restriction","Border restriction","Entry ban to people from high-risk areas other than China","Certain regions of Italy, Spain and Switzerland, and entire Iceland"
"Travel restriction","Border restriction","Entry ban to people from high-risk areas other than China","Countries with cases"
"Travel restriction","Border restriction","Entry ban to people from high-risk areas other than China","Daegu city and Cheongdo county, Republic of Korea"
"Travel restriction","Border restriction","Entry ban to people from high-risk areas other than China","Europe, Iran and South Korea"
"Travel restriction","Border restriction","Entry ban to people from high-risk areas other than China","Existing visas (including eVisa already issued) are no longer valid for any foreign national travelling from Republic of Korea, Islamic Republic of Iran, Italy and Japan"
"Travel restriction","Border restriction","Entry ban to people from high-risk areas other than China","France , Austria , Luxembourg , Switzerland, Denmark"
"Travel restriction","Border restriction","Entry ban to people from high-risk areas other than China","France, Switzerland, Austria, Luxemburg"
"Travel restriction","Border restriction","Entry ban to people from high-risk areas other than China","Increase list of countries: 73 countries"
"Travel restriction","Border restriction","Entry ban to people from high-risk areas other than China","Increase list of countries: 87 countries"
"Travel restriction","Border restriction","Entry ban to people from high-risk areas other than China","Iran"
"Travel restriction","Border restriction","Entry ban to people from high-risk areas other than China","Iran, Northern Italy, Republic of Korea within the last 14 days will not be allowed entry into Singapore, or transit through Singapore"
"Travel restriction","Border restriction","Entry ban to people from high-risk areas other than China","Iranian citizens"
"Travel restriction","Border restriction","Entry ban to people from high-risk areas other than China","Israel"
"Travel restriction","Border restriction","Entry ban to people from high-risk areas other than China","Italy"
"Travel restriction","Border restriction","Entry ban to people from high-risk areas other than China","Italy, exception cross-border workers, goods transport, swiss citizens or residents, transit, and exceptional cases"
"Travel restriction","Border restriction","Entry ban to people from high-risk areas other than China","Italy, France, Spain, Germany"
"Travel restriction","Border restriction","Entry ban to people from high-risk areas other than China","Italy, Germany, France,  Austria"
"Travel restriction","Border restriction","Entry ban to people from high-risk areas other than China","Italy, Germany, France,  Austria, Spain"
"Travel restriction","Border restriction","Entry ban to people from high-risk areas other than China","Italy, Germany, France,  Austria, Spain, and all States outside Schengen Area"
"Travel restriction","Border restriction","Entry ban to people from high-risk areas other than China","Italy, South Korea, Iran"
"Travel restriction","Border restriction","Entry ban to people from high-risk areas other than China","Korea, Iran, Italy, Spain, Austria, Germany, Switzerland, Sweden, Norway, Belgium, United Kingdom, Denmark, France"
"Travel restriction","Border restriction","Entry ban to people from high-risk areas other than China","Morocco"
"Travel restriction","Border restriction","Entry ban to people from high-risk areas other than China","MS Westerdam"
"Travel restriction","Border restriction","Entry ban to people from high-risk areas other than China","No visas issued for people from France, Germany and Spain"
"Travel restriction","Border restriction","Entry ban to people from high-risk areas other than China","No visas issued for people from Italy, Iran, South Korea, and Japan"
"Travel restriction","Border restriction","Entry ban to people from high-risk areas other than China","North Gyeongsang Province of the Republic of Korea (ROK) and Qom Province of the Republic of Iran"
"Travel restriction","Border restriction","Entry ban to people from high-risk areas other than China","Schengen Area "
"Travel restriction","Border restriction","Entry ban to people from high-risk areas other than China","South Korea"
"Travel restriction","Border restriction","Entry ban to people from high-risk areas other than China","South Korea, and Iran"
"Travel restriction","Border restriction","Entry ban to people from high-risk areas other than China","Spain"
"Travel restriction","Border restriction","Entry ban to people from high-risk areas other than China","Switzerland"
"Travel restriction","Border restriction","Entry ban to people from high-risk areas other than China","Tourists from countries outside of the EEA and EFTA"
"Travel restriction","Border restriction","Entry ban to people from high-risk areas other than China","UK, Iran, Italy, the Vatican, Spain, France, Germany and Switzerland"
"Travel restriction","Border restriction","Entry ban to people from high-risk areas other than China","Visa restriction for: persons with a visa issued from high-risk regions"
"Travel restriction","Border restriction","Entry ban to people from high-risk areas other than China","Visa restriction for: Schengen countries (Austria, Belgium, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Slovakia, Slovenia, Spain, Sweden and Switzerland), Andorra, Bulgaria, Croatia, Cyprus, Egypt, Iran, Ireland, Monaco, Romania, San Marino, the United Kingdom, and Vatican"
"Travel restriction","Border restriction","Entry ban to people from high-risk areas other than China","Visas are no longer issued for Iranian citizens"
"Travel restriction","Border restriction","Entry ban to people from high-risk areas other than China","Zhejiang Province"
"Travel restriction","Border restriction","Entry ban to people with a travel history to China",""
"Travel restriction","Border restriction","Entry ban to people with a travel history to China","Foreign nationals who have any history of staying in Hubei Province within 14 days and those who possess a Chinese passport issued by Hubei Province"
"Travel restriction","Border restriction","Entry ban to refugees",""
"Travel restriction","Border restriction","Entry ban to refugees","For an indefinite period"
"Travel restriction","Border restriction","Entry ban to refugees","The admission of immigrants is suspended indefinitely."
"Travel restriction","Border restriction","Force departure of Chinese nationals","Deportation of Chinese nationals"
"Travel restriction","Border restriction","Force departure of Chinese nationals","Tour groups from Hubei to depart Taiwan"
"Travel restriction","Border restriction","Force departure of Chinese nationals","Tour groups from Wuhan to depart Taiwan"
"Travel restriction","Border restriction","Force departure of Chinese nationals","Tours to China suspended until Jan 31 : Tour groups from Hubei province to depart Taiwan"
"Travel restriction","Border restriction","Land border controls",""
"Travel restriction","Border restriction","Land border controls","Applies to passengers from Bosnia and Herzegowina travelling to Serbia or Montenegro."
"Travel restriction","Border restriction","Land border controls","Austria"
"Travel restriction","Border restriction","Land border controls","Austria and Slovenia"
"Travel restriction","Border restriction","Land border controls","Austrian border"
"Travel restriction","Border restriction","Land border controls","Border controls (re-instaured)"
"Travel restriction","Border restriction","Land border controls","Borders open for goods"
"Travel restriction","Border restriction","Land border controls","Germany"
"Travel restriction","Border restriction","Land border controls","Italy"
"Travel restriction","Border restriction","Land border controls","Liechtenstein, Slovenia"
"Travel restriction","Border restriction","Land border controls","Slovenia and Austria"
"Travel restriction","Border restriction","Land border controls","USA"
"Travel restriction","Border restriction","Land borders closed",""
"Travel restriction","Border restriction","Land borders closed","Albania, North Macendonia"
"Travel restriction","Border restriction","Land borders closed","Argentina, Bolivia, Colombia, French Guiana, Guyana, Paraguay, Peru and Suriname"
"Travel restriction","Border restriction","Land borders closed","Borders closed except Brunei and Kalimantan"
"Travel restriction","Border restriction","Land borders closed","Croatia"
"Travel restriction","Border restriction","Land borders closed","Italy"
"Travel restriction","Border restriction","Land borders closed","Lebanon"
"Travel restriction","Border restriction","Land borders closed","Montenegro, Kosovo, North Macedonia, and Greece"
"Travel restriction","Border restriction","Land borders closed","Morocco"
"Travel restriction","Border restriction","Land borders closed","Partial"
"Travel restriction","Border restriction","Land borders closed","Serbia"
"Travel restriction","Border restriction","Land borders closed","Slovenia, Hungary"
"Travel restriction","Border restriction","Land borders closed","Venezuela only"
"Travel restriction","Border restriction","Restriction of freight transport","From high-risk areas : Austria, Belgium, Switzerland, USA, UK, Netherlands, Turkey, Iran"
"Travel restriction","Border restriction","Suspension of passenger railway transports crossing the country border",""
"Travel restriction","Border restriction","Temporary reduction of service"," 27 Canadian land border locations."
"Travel restriction","Border restriction","Temporary reduction of service","USA border"
"Travel restriction","Border restriction","Total entry ban",""
"Travel restriction","Border restriction","Total entry ban","Air, sea, land"
"Travel restriction","Border restriction","Travel ban to high-risk areas",""
"Travel restriction","Border restriction","Travel ban to high-risk areas","all countries where state of epidemics is declared"
"Travel restriction","Border restriction","Travel ban to high-risk areas","Austria"
"Travel restriction","Border restriction","Travel ban to high-risk areas","China : Tour groups departure"
"Travel restriction","Border restriction","Travel ban to high-risk areas","Denmark, France, Germany"
"Travel restriction","Border restriction","Travel ban to high-risk areas","For state employees"
"Travel restriction","Border restriction","Travel ban to high-risk areas","Iran, Italy, Spain, South Korea"
"Travel restriction","Border restriction","Travel ban to high-risk areas","Iraq, Jordan"
"Travel restriction","Border restriction","Travel ban to high-risk areas","Italy"
"Travel restriction","Border restriction","Travel ban to high-risk areas","Japan"
"Travel restriction","Border restriction","Travel ban to high-risk areas","Prohibition of international bus transports"
"Travel restriction","Border restriction","Travel ban to high-risk areas","Switzerland"
"Travel restriction","Border restriction","Travel ban to high-risk areas","To and from Austria"
"Travel restriction","Border restriction","Travel ban to high-risk areas","Tour group departure"
"Travel restriction","Cordon sanitaire","",""
"Travel restriction","Cordon sanitaire","More than one city",""
"Travel restriction","Cordon sanitaire","More than one city","5 towns in Tyrol"
"Travel restriction","Cordon sanitaire","More than one region",""
"Travel restriction","Cordon sanitaire","One city",""
"Travel restriction","Cordon sanitaire","One city","Metapan city"
"Travel restriction","Cordon sanitaire","One city","Partial"
"Travel restriction","Cordon sanitaire","One city","The town of Nemen?in? will be put on lockdown from April 16 to April 30"
"Travel restriction","Cordon sanitaire","One hotel",""
"Travel restriction","Cordon sanitaire","One municipality",""
"Travel restriction","Cordon sanitaire","One province",""
"Travel restriction","Cordon sanitaire","One province","Alberta"
"Travel restriction","Cordon sanitaire","One province","British Columbia"
"Travel restriction","Cordon sanitaire","One region",""
"Travel restriction","Cordon sanitaire","One region","Maharashtra"
"Travel restriction","Cordon sanitaire","One region","Movements to and from the region of Uusimaa will be restricted until 19th April."
"Travel restriction","Cordon sanitaire","One region","Ship in quarantaine for 14 days +"
"Travel restriction","Cordon sanitaire","One region","We remind you that, on April 21 this year, an important part of the Constanta locality Cuza Vod? was quarantined, following an order signed by the Secretary of State of the Ministry of Internal Affairs, Mr. Raed ARAFAT."
"Travel restriction","Cordon sanitaire","One state",""
"Travel restriction","Cordon sanitaire","Partial",""
"Travel restriction","Cordon sanitaire","Partial","21.00 to 07.00"
"Travel restriction","Cordon sanitaire","Voluntary lockdown of affected cities and provinces",""
"Travel restriction","Individual movement restrictions","Curfew",""
"Travel restriction","Individual movement restrictions","Curfew","20:00 - 5:00"
"Travel restriction","Individual movement restrictions","Curfew","approved on 7 April and is set to take effect from 10 April for at least two weeks"
"Travel restriction","Individual movement restrictions","Curfew","Expanded to weekend"
"Travel restriction","Individual movement restrictions","Curfew","Extend national curfew to weekend in this area"
"Travel restriction","Individual movement restrictions","Curfew","For the ederly"
"Travel restriction","Individual movement restrictions","Curfew","From 8 p.m. to 6 a.m."
"Travel restriction","Individual movement restrictions","Curfew","Night"
"Travel restriction","Individual movement restrictions","Curfew","Recommendation to limit people movement only for essential reasons between hours 6:00-22:00"
"Travel restriction","Individual movement restrictions","Curfew","Time restriction"
"Travel restriction","Individual movement restrictions","Movements for non-essential activities forbidden",""
"Travel restriction","Individual movement restrictions","Movements for non-essential activities forbidden","All people not engaged in essential activities"
"Travel restriction","Individual movement restrictions","Movements for non-essential activities forbidden","Allowed to work only when work cannot be performed via home office"
"Travel restriction","Individual movement restrictions","Movements for non-essential activities forbidden","Attestation on the honor of the person or the employer required"
"Travel restriction","Individual movement restrictions","Movements for non-essential activities forbidden","Ban on travel outside municipality of residence except for work"
"Travel restriction","Individual movement restrictions","Movements for non-essential activities forbidden","Ban people to go outside their households from 22:00-6:00 except emergencies or written statements"
"Travel restriction","Individual movement restrictions","Movements for non-essential activities forbidden","Bas-Saint-Laurent, l'Abitibi-TÈmiscamingue, la CÙte-Nord, le Nord-du-QuÈbec, le Nunavik et les Terres-Cries-de-la-Baie-James"
"Travel restriction","Individual movement restrictions","Movements for non-essential activities forbidden","Confinement"
"Travel restriction","Individual movement restrictions","Movements for non-essential activities forbidden","Elderly and minors"
"Travel restriction","Individual movement restrictions","Movements for non-essential activities forbidden","Emergency legislation passed to restrict individual movements"
"Travel restriction","Individual movement restrictions","Movements for non-essential activities forbidden","Except those whose place of work is located outside the restrictions area"
"Travel restriction","Individual movement restrictions","Movements for non-essential activities forbidden","From today it is forbidden for all natural persons to move or move with public or private means of transport in common other than that in which they are located, except for proven work needs, of absolute urgency or for health reasons."
"Travel restriction","Individual movement restrictions","Movements for non-essential activities forbidden","Mandatory confinement"
"Travel restriction","Individual movement restrictions","Movements for non-essential activities forbidden","Mandatory confinement for vulnerable/older persons"
"Travel restriction","Individual movement restrictions","Movements for non-essential activities forbidden","Movement for work and basic needs allowed"
"Travel restriction","Individual movement restrictions","Movements for non-essential activities forbidden","No movements allowed before and during holidays"
"Travel restriction","Individual movement restrictions","Movements for non-essential activities forbidden","people that returned within the last 14 days from high-risk areas"
"Travel restriction","Individual movement restrictions","Movements for non-essential activities forbidden","Private vehicles banned"
"Travel restriction","Individual movement restrictions","Movements for non-essential activities forbidden","Prohibition of leaving the municipality one is in"
"Travel restriction","Individual movement restrictions","Movements for non-essential activities forbidden","Recommendation to not go to secondary home"
"Travel restriction","Individual movement restrictions","Movements for non-essential activities forbidden","Saturday and Sunday"
"Travel restriction","Individual movement restrictions","Movements for non-essential activities forbidden","Traffic ban"
"Travel restriction","Individual movement restrictions","Movements for non-essential activities forbidden","Walks and bike riding forbidden"
