"";"id";"Country";"iso3";"Region";"Date";"Measure_L1";"Measure_L2";"Measure_L3";"Measure_L4";"Comment";"Source"
"3054";3055;"Syria";"SYR";"Syria";"25/01/2020";"Case identification, contact tracing and related measures";"Border health check";"Measure temperature";"";"";"https://www.sana.sy/en/?p=183339"
"3055";3056;"Syria";"SYR";"Syria";"23/03/2020";"Travel restriction";"Border restriction";"Borders closed for travellers but open for food supply";"";"";"https://www.sana.sy/en/?p=188685"
"3056";3057;"Syria";"SYR";"Syria";"08/03/2020";"Travel restriction";"Border restriction";"Denial entry of travellers from high risk areas other than China";"Iraq, Jordan";"suspend traveling to and from Iraq and Jordan for one month";"https://www.sana.sy/en/?p=187790"
"3057";3058;"Syria";"SYR";"Syria";"08/03/2020";"Travel restriction";"Border restriction";"Denial entry of travellers from high risk areas other than China";"all countries where state of epidemics is declared";"suspend traveling for two months for the states in which a state of epidemic is declared";"https://www.sana.sy/en/?p=187790"
"3058";3059;"Syria";"SYR";"Syria";"14/03/2020";"Social distancing";"Closure of educational institutions";"Complete closure of educational institutions";"Complete closure of kindergartens";"";"sana.sy/en/?p=188239"
"3059";3060;"Syria";"SYR";"Syria";"14/03/2020";"Social distancing";"Closure of educational institutions";"Complete closure of educational institutions";"Complete closure of primary and secondary schools";"";"sana.sy/en/?p=188239"
"3060";3061;"Syria";"SYR";"Syria";"14/03/2020";"Social distancing";"Closure of educational institutions";"Complete closure of educational institutions";"Complete closure of universities, research institutions";"";"sana.sy/en/?p=188239"
"3061";3062;"Syria";"SYR";"Syria";"25/03/2020";"Travel restriction";"Individual movement restrictions";"Curfew";"";"";"https://www.sana.sy/en/?p=188791"
"3062";3063;"Syria";"SYR";"Syria";"21/03/2020";"Risk communication";"Educate and actively communicate with the public";"Answer to questions";"Telephone hotlines covid-19";"";"https://www.sana.sy/en/?p=188539"
"3063";3064;"Syria";"SYR";"Syria";"20/03/2020";"Risk communication";"Educate and actively communicate with the public";"Encourage self-initiated quarantine";"";"";"https://www.sana.sy/en/?p=188590"
"3064";3065;"Syria";"SYR";"Syria";"20/02/2020";"Healthcare and public health capacity";"Increase availability of PPE";"Face masks";"Increase production of masks";"exact day of application not provided/increase production of sanitization products";"https://www.sana.sy/en/?p=188590"
"3065";3066;"Syria";"SYR";"Syria";"22/03/2020";"Healthcare and public health capacity";"Enhance laboratory testing";"Increase testing capacity (number tests)";"";"exact day of application not announced";"https://www.sana.sy/en/?p=188668"
"3066";3067;"Syria";"SYR";"Syria";"23/02/2020";"Case identification, contact tracing and related measures";"Enhance detection system";"";"";"exact date of application not released";"https://www.sana.sy/en/?p=186392"
"3067";3068;"Syria";"SYR";"Syria";"15/03/2020";"Environmental measures";"Environmental cleaning and disinfection";"Public Transport";"";"";"https://www.sana.sy/en/?p=188308"
"3068";3069;"Syria";"SYR";"Syria";"14/03/2020";"Case identification, contact tracing and related measures";"Isolation of cases";"";"";"suspected caes on airplane coming from Iraq/crew members and passangers isolated";"https://www.sana.sy/en/?p=188330"
"3069";3070;"Syria";"SYR";"Syria";"22/03/2020";"Case identification, contact tracing and related measures";"Isolation of cases";"";"";"first case detected";"https://www.sana.sy/en/?p=188673"
"3070";3071;"Syria";"SYR";"Syria";"14/03/2020";"Social distancing";"Mass gathering cancellation";"Cultural events";"theatres, cinemas, concerts, etc.";"";"sana.sy/en/?p=188239"
"3071";3072;"Syria";"SYR";"Syria";"14/03/2020";"Social distancing";"Mass gathering cancellation";"Sport events";"";"";"sana.sy/en/?p=188239"
"3072";3073;"Syria";"SYR";"Syria";"22/03/2020";"Social distancing";"Small gathering cancellation";"(unspecified)";"";"the Transport Ministry suspended work of all its directorates and affiliated service centers in all provinces";"https://www.sana.sy/en/?p=188510"
"3073";3074;"Syria";"SYR";"Syria";"14/03/2020";"Social distancing";"Small gathering cancellation";"Closure of restaurants/bars/cafes";"Partial";"restaurants and cafes are to refrain from providing hookah (water pipe), and venues for social gatherings have been closed";"sana.sy/en/?p=188239"
"3074";3075;"Syria";"SYR";"Syria";"14/03/2020";"Social distancing";"Small gathering cancellation";"Implement part-time work";"";"";"sana.sy/en/?p=188239"
"3075";3076;"Taiwan";"TWN";"Taiwan";"05/03/2020";"Risk communication";"Actively communicate with stakeholders";"Provides recommendation for business continuity";"";"";"https://www.cdc.gov.tw/En/Bulletin/List/7tUXjTBf6paRvrhEl-mrPg?page=6"
"3076";3077;"Taiwan";"TWN";"Taiwan";"05/03/2020";"Risk communication";"Actively communicate with stakeholders";"Risk assessment before an event";"";"";"https://www.cdc.gov.tw/En/Bulletin/List/7tUXjTBf6paRvrhEl-mrPg?page=5"
"3077";3078;"Taiwan";"TWN";"Taiwan";"23/01/2020";"Case identification, contact tracing and related measures";"Airport health check";"Health certificate requested";"Travelers from China";"";"https://cdn.jamanetwork.com/ama/content_public/journal/jama/938448/jvp200035supp1_prod.pdf?Expires=2147483647&Signature=TqblGVjLDNbIm~4rscGM6Kak6iN4m-ONWtogkLG9v5u0T8oTnjDAsf0B3Sl~6V9LeiazowKyVJz~dh2TbO0-N8-GUFskmeC2n-DyD4xca4Oa-Miam9C9qRWAsaGmzCRgNqijPm~mg9JxwJz~B~p~jE7bIuFCo2lDcB-tlTBhmYAn~G2YHam62R07XVpPMkTclEPWs2wu8MXXTz0DnGaY3YF7HkvbtBz~9XHa7123ODS0G2ydZy8HTcF5ry7gOAylQHdU5LHWQftqnNRu3T-kBXzAMfvofohuaJyuujaP5rNb7Rm7u1uqwNbmBcmGBm~H47-6RG5cUL-oHFdv7jc1sA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA"
"3078";3079;"Taiwan";"TWN";"Taiwan";"31/12/2019";"Case identification, contact tracing and related measures";"Airport health check";"Measure temperature for passengers from Hubei";"";"";"https://cdn.jamanetwork.com/ama/content_public/journal/jama/938448/jvp200035supp1_prod.pdf?Expires=2147483647&Signature=TqblGVjLDNbIm~4rscGM6Kak6iN4m-ONWtogkLG9v5u0T8oTnjDAsf0B3Sl~6V9LeiazowKyVJz~dh2TbO0-N8-GUFskmeC2n-DyD4xca4Oa-Miam9C9qRWAsaGmzCRgNqijPm~mg9JxwJz~B~p~jE7bIuFCo2lDcB-tlTBhmYAn~G2YHam62R07XVpPMkTclEPWs2wu8MXXTz0DnGaY3YF7HkvbtBz~9XHa7123ODS0G2ydZy8HTcF5ry7gOAylQHdU5LHWQftqnNRu3T-kBXzAMfvofohuaJyuujaP5rNb7Rm7u1uqwNbmBcmGBm~H47-6RG5cUL-oHFdv7jc1sA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA"
"3079";3080;"Taiwan";"TWN";"Taiwan";"16/02/2020";"Case identification, contact tracing and related measures";"Airport health check";"Test travellers with fever or symptoms";"";"";"https://cdn.jamanetwork.com/ama/content_public/journal/jama/938448/jvp200035supp1_prod.pdf?Expires=2147483647&Signature=TqblGVjLDNbIm~4rscGM6Kak6iN4m-ONWtogkLG9v5u0T8oTnjDAsf0B3Sl~6V9LeiazowKyVJz~dh2TbO0-N8-GUFskmeC2n-DyD4xca4Oa-Miam9C9qRWAsaGmzCRgNqijPm~mg9JxwJz~B~p~jE7bIuFCo2lDcB-tlTBhmYAn~G2YHam62R07XVpPMkTclEPWs2wu8MXXTz0DnGaY3YF7HkvbtBz~9XHa7123ODS0G2ydZy8HTcF5ry7gOAylQHdU5LHWQftqnNRu3T-kBXzAMfvofohuaJyuujaP5rNb7Rm7u1uqwNbmBcmGBm~H47-6RG5cUL-oHFdv7jc1sA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA"
"3080";3081;"Taiwan";"TWN";"Taiwan";"06/02/2020";"Travel restriction";"Airport restriction";"Denial entry of travellers from China";"Chinese national";"";"https://cdn.jamanetwork.com/ama/content_public/journal/jama/938448/jvp200035supp1_prod.pdf?Expires=2147483647&Signature=TqblGVjLDNbIm~4rscGM6Kak6iN4m-ONWtogkLG9v5u0T8oTnjDAsf0B3Sl~6V9LeiazowKyVJz~dh2TbO0-N8-GUFskmeC2n-DyD4xca4Oa-Miam9C9qRWAsaGmzCRgNqijPm~mg9JxwJz~B~p~jE7bIuFCo2lDcB-tlTBhmYAn~G2YHam62R07XVpPMkTclEPWs2wu8MXXTz0DnGaY3YF7HkvbtBz~9XHa7123ODS0G2ydZy8HTcF5ry7gOAylQHdU5LHWQftqnNRu3T-kBXzAMfvofohuaJyuujaP5rNb7Rm7u1uqwNbmBcmGBm~H47-6RG5cUL-oHFdv7jc1sA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA"
"3081";3082;"Taiwan";"TWN";"Taiwan";"07/02/2020";"Travel restriction";"Airport restriction";"Denial entry of travellers from high risk areas other than China";"Hong Kong or Macau";"";"https://cdn.jamanetwork.com/ama/content_public/journal/jama/938448/jvp200035supp1_prod.pdf?Expires=2147483647&Signature=TqblGVjLDNbIm~4rscGM6Kak6iN4m-ONWtogkLG9v5u0T8oTnjDAsf0B3Sl~6V9LeiazowKyVJz~dh2TbO0-N8-GUFskmeC2n-DyD4xca4Oa-Miam9C9qRWAsaGmzCRgNqijPm~mg9JxwJz~B~p~jE7bIuFCo2lDcB-tlTBhmYAn~G2YHam62R07XVpPMkTclEPWs2wu8MXXTz0DnGaY3YF7HkvbtBz~9XHa7123ODS0G2ydZy8HTcF5ry7gOAylQHdU5LHWQftqnNRu3T-kBXzAMfvofohuaJyuujaP5rNb7Rm7u1uqwNbmBcmGBm~H47-6RG5cUL-oHFdv7jc1sA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA"
"3082";3083;"Taiwan";"TWN";"Taiwan";"07/02/2020";"Travel restriction";"Airport restriction";"Denial entry of travellers from China";"";"";"https://cdn.jamanetwork.com/ama/content_public/journal/jama/938448/jvp200035supp1_prod.pdf?Expires=2147483647&Signature=TqblGVjLDNbIm~4rscGM6Kak6iN4m-ONWtogkLG9v5u0T8oTnjDAsf0B3Sl~6V9LeiazowKyVJz~dh2TbO0-N8-GUFskmeC2n-DyD4xca4Oa-Miam9C9qRWAsaGmzCRgNqijPm~mg9JxwJz~B~p~jE7bIuFCo2lDcB-tlTBhmYAn~G2YHam62R07XVpPMkTclEPWs2wu8MXXTz0DnGaY3YF7HkvbtBz~9XHa7123ODS0G2ydZy8HTcF5ry7gOAylQHdU5LHWQftqnNRu3T-kBXzAMfvofohuaJyuujaP5rNb7Rm7u1uqwNbmBcmGBm~H47-6RG5cUL-oHFdv7jc1sA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA"
"3083";3084;"Taiwan";"TWN";"Taiwan";"22/01/2020";"Travel restriction";"Airport restriction";"Denial entry of travellers from Wuhan";"Entry permits canceled for 459 tourists from Wuhan set to arrive later in January";"";"https://cdn.jamanetwork.com/ama/content_public/journal/jama/938448/jvp200035supp1_prod.pdf?Expires=2147483647&Signature=TqblGVjLDNbIm~4rscGM6Kak6iN4m-ONWtogkLG9v5u0T8oTnjDAsf0B3Sl~6V9LeiazowKyVJz~dh2TbO0-N8-GUFskmeC2n-DyD4xca4Oa-Miam9C9qRWAsaGmzCRgNqijPm~mg9JxwJz~B~p~jE7bIuFCo2lDcB-tlTBhmYAn~G2YHam62R07XVpPMkTclEPWs2wu8MXXTz0DnGaY3YF7HkvbtBz~9XHa7123ODS0G2ydZy8HTcF5ry7gOAylQHdU5LHWQftqnNRu3T-kBXzAMfvofohuaJyuujaP5rNb7Rm7u1uqwNbmBcmGBm~H47-6RG5cUL-oHFdv7jc1sA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA"
"3084";3085;"Taiwan";"TWN";"Taiwan";"23/01/2020";"Travel restriction";"Airport restriction";"Denial entry of Wuhan residents";"Borders closed for people from Wuhan";"";"https://cdn.jamanetwork.com/ama/content_public/journal/jama/938448/jvp200035supp1_prod.pdf?Expires=2147483647&Signature=TqblGVjLDNbIm~4rscGM6Kak6iN4m-ONWtogkLG9v5u0T8oTnjDAsf0B3Sl~6V9LeiazowKyVJz~dh2TbO0-N8-GUFskmeC2n-DyD4xca4Oa-Miam9C9qRWAsaGmzCRgNqijPm~mg9JxwJz~B~p~jE7bIuFCo2lDcB-tlTBhmYAn~G2YHam62R07XVpPMkTclEPWs2wu8MXXTz0DnGaY3YF7HkvbtBz~9XHa7123ODS0G2ydZy8HTcF5ry7gOAylQHdU5LHWQftqnNRu3T-kBXzAMfvofohuaJyuujaP5rNb7Rm7u1uqwNbmBcmGBm~H47-6RG5cUL-oHFdv7jc1sA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA"
"3085";3086;"Taiwan";"TWN";"Taiwan";"24/02/2020";"Travel restriction";"Airport restriction";"Transiting Taiwan by air not allowed";"";"";"https://www.cdc.gov.tw/En/Bulletin/List/7tUXjTBf6paRvrhEl-mrPg?page=20"
"3086";3087;"Taiwan";"TWN";"Taiwan";"23/01/2020";"Case identification, contact tracing and related measures";"Border health check";"Health certificate requested";"Health certificate for travellers from China";"";"https://cdn.jamanetwork.com/ama/content_public/journal/jama/938448/jvp200035supp1_prod.pdf?Expires=2147483647&Signature=TqblGVjLDNbIm~4rscGM6Kak6iN4m-ONWtogkLG9v5u0T8oTnjDAsf0B3Sl~6V9LeiazowKyVJz~dh2TbO0-N8-GUFskmeC2n-DyD4xca4Oa-Miam9C9qRWAsaGmzCRgNqijPm~mg9JxwJz~B~p~jE7bIuFCo2lDcB-tlTBhmYAn~G2YHam62R07XVpPMkTclEPWs2wu8MXXTz0DnGaY3YF7HkvbtBz~9XHa7123ODS0G2ydZy8HTcF5ry7gOAylQHdU5LHWQftqnNRu3T-kBXzAMfvofohuaJyuujaP5rNb7Rm7u1uqwNbmBcmGBm~H47-6RG5cUL-oHFdv7jc1sA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA"
"3087";3088;"Taiwan";"TWN";"Taiwan";"11/02/2020";"Case identification, contact tracing and related measures";"Border health check";"Health certificate requested";"Health certificate for all travellers";"";"https://cdn.jamanetwork.com/ama/content_public/journal/jama/938448/jvp200035supp1_prod.pdf?Expires=2147483647&Signature=TqblGVjLDNbIm~4rscGM6Kak6iN4m-ONWtogkLG9v5u0T8oTnjDAsf0B3Sl~6V9LeiazowKyVJz~dh2TbO0-N8-GUFskmeC2n-DyD4xca4Oa-Miam9C9qRWAsaGmzCRgNqijPm~mg9JxwJz~B~p~jE7bIuFCo2lDcB-tlTBhmYAn~G2YHam62R07XVpPMkTclEPWs2wu8MXXTz0DnGaY3YF7HkvbtBz~9XHa7123ODS0G2ydZy8HTcF5ry7gOAylQHdU5LHWQftqnNRu3T-kBXzAMfvofohuaJyuujaP5rNb7Rm7u1uqwNbmBcmGBm~H47-6RG5cUL-oHFdv7jc1sA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA"
"3088";3089;"Taiwan";"TWN";"Taiwan";"11/02/2020";"Case identification, contact tracing and related measures";"Border health check";"Health declaration";"";"Travelers entering Taiwan must complete an accurate health declaration form or be fined up to NT$150,000 (USD $5,000)";"https://cdn.jamanetwork.com/ama/content_public/journal/jama/938448/jvp200035supp1_prod.pdf?Expires=2147483647&Signature=TqblGVjLDNbIm~4rscGM6Kak6iN4m-ONWtogkLG9v5u0T8oTnjDAsf0B3Sl~6V9LeiazowKyVJz~dh2TbO0-N8-GUFskmeC2n-DyD4xca4Oa-Miam9C9qRWAsaGmzCRgNqijPm~mg9JxwJz~B~p~jE7bIuFCo2lDcB-tlTBhmYAn~G2YHam62R07XVpPMkTclEPWs2wu8MXXTz0DnGaY3YF7HkvbtBz~9XHa7123ODS0G2ydZy8HTcF5ry7gOAylQHdU5LHWQftqnNRu3T-kBXzAMfvofohuaJyuujaP5rNb7Rm7u1uqwNbmBcmGBm~H47-6RG5cUL-oHFdv7jc1sA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA"
"3089";3090;"Taiwan";"TWN";"Taiwan";"19/03/2020";"Case identification, contact tracing and related measures";"Border health check";"Health declaration";"";"";"https://www.cdc.gov.tw/En/Bulletin/List/7tUXjTBf6paRvrhEl-mrPg?page=16"
"3090";3091;"Taiwan";"TWN";"Taiwan";"26/01/2020";"Travel restriction";"Border restriction";"Borders closed for people with travel history to China";"";"";"https://cdn.jamanetwork.com/ama/content_public/journal/jama/938448/jvp200035supp1_prod.pdf?Expires=2147483647&Signature=TqblGVjLDNbIm~4rscGM6Kak6iN4m-ONWtogkLG9v5u0T8oTnjDAsf0B3Sl~6V9LeiazowKyVJz~dh2TbO0-N8-GUFskmeC2n-DyD4xca4Oa-Miam9C9qRWAsaGmzCRgNqijPm~mg9JxwJz~B~p~jE7bIuFCo2lDcB-tlTBhmYAn~G2YHam62R07XVpPMkTclEPWs2wu8MXXTz0DnGaY3YF7HkvbtBz~9XHa7123ODS0G2ydZy8HTcF5ry7gOAylQHdU5LHWQftqnNRu3T-kBXzAMfvofohuaJyuujaP5rNb7Rm7u1uqwNbmBcmGBm~H47-6RG5cUL-oHFdv7jc1sA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA"
"3091";3092;"Taiwan";"TWN";"Taiwan";"27/01/2020";"Travel restriction";"Border restriction";"Borders closed for people with travel history to China";"";"";"https://www.cdc.gov.tw/File/Get/HAvRHGs_EjKeROHYmzWm5w"
"3092";3093;"Taiwan";"TWN";"Taiwan";"30/01/2020";"Travel restriction";"Border restriction";"Borders closed for people with travel history to China";"";"";"https://cdn.jamanetwork.com/ama/content_public/journal/jama/938448/jvp200035supp1_prod.pdf?Expires=2147483647&Signature=TqblGVjLDNbIm~4rscGM6Kak6iN4m-ONWtogkLG9v5u0T8oTnjDAsf0B3Sl~6V9LeiazowKyVJz~dh2TbO0-N8-GUFskmeC2n-DyD4xca4Oa-Miam9C9qRWAsaGmzCRgNqijPm~mg9JxwJz~B~p~jE7bIuFCo2lDcB-tlTBhmYAn~G2YHam62R07XVpPMkTclEPWs2wu8MXXTz0DnGaY3YF7HkvbtBz~9XHa7123ODS0G2ydZy8HTcF5ry7gOAylQHdU5LHWQftqnNRu3T-kBXzAMfvofohuaJyuujaP5rNb7Rm7u1uqwNbmBcmGBm~H47-6RG5cUL-oHFdv7jc1sA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA"
"3093";3094;"Taiwan";"TWN";"Taiwan";"19/03/2020";"Travel restriction";"Border restriction";"Borders closed to all non-citizens";"only exceptional cases allowed";"";"https://www.cdc.gov.tw/En/Bulletin/List/7tUXjTBf6paRvrhEl-mrPg?page=15"
"3094";3095;"Taiwan";"TWN";"Taiwan";"11/02/2020";"Travel restriction";"Border restriction";"Denial entry of travellers from high risk areas other than China";"Denial entry of Hongkong and Macau residents";"";"https://cdn.jamanetwork.com/ama/content_public/journal/jama/938448/jvp200035supp1_prod.pdf?Expires=2147483647&Signature=TqblGVjLDNbIm~4rscGM6Kak6iN4m-ONWtogkLG9v5u0T8oTnjDAsf0B3Sl~6V9LeiazowKyVJz~dh2TbO0-N8-GUFskmeC2n-DyD4xca4Oa-Miam9C9qRWAsaGmzCRgNqijPm~mg9JxwJz~B~p~jE7bIuFCo2lDcB-tlTBhmYAn~G2YHam62R07XVpPMkTclEPWs2wu8MXXTz0DnGaY3YF7HkvbtBz~9XHa7123ODS0G2ydZy8HTcF5ry7gOAylQHdU5LHWQftqnNRu3T-kBXzAMfvofohuaJyuujaP5rNb7Rm7u1uqwNbmBcmGBm~H47-6RG5cUL-oHFdv7jc1sA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA"
"3095";3096;"Taiwan";"TWN";"Taiwan";"13/02/2020";"Travel restriction";"Border restriction";"Denial entry of travellers from high risk areas other than China";"MS Westerdam";"Cruise ship";"https://cdn.jamanetwork.com/ama/content_public/journal/jama/938448/jvp200035supp1_prod.pdf?Expires=2147483647&Signature=TqblGVjLDNbIm~4rscGM6Kak6iN4m-ONWtogkLG9v5u0T8oTnjDAsf0B3Sl~6V9LeiazowKyVJz~dh2TbO0-N8-GUFskmeC2n-DyD4xca4Oa-Miam9C9qRWAsaGmzCRgNqijPm~mg9JxwJz~B~p~jE7bIuFCo2lDcB-tlTBhmYAn~G2YHam62R07XVpPMkTclEPWs2wu8MXXTz0DnGaY3YF7HkvbtBz~9XHa7123ODS0G2ydZy8HTcF5ry7gOAylQHdU5LHWQftqnNRu3T-kBXzAMfvofohuaJyuujaP5rNb7Rm7u1uqwNbmBcmGBm~H47-6RG5cUL-oHFdv7jc1sA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA"
"3096";3097;"Taiwan";"TWN";"Taiwan";"02/02/2020";"Social distancing";"Closure of educational institutions";"Closure of kindergartens";"";"";"https://cdn.jamanetwork.com/ama/content_public/journal/jama/938448/jvp200035supp1_prod.pdf?Expires=2147483647&Signature=TqblGVjLDNbIm~4rscGM6Kak6iN4m-ONWtogkLG9v5u0T8oTnjDAsf0B3Sl~6V9LeiazowKyVJz~dh2TbO0-N8-GUFskmeC2n-DyD4xca4Oa-Miam9C9qRWAsaGmzCRgNqijPm~mg9JxwJz~B~p~jE7bIuFCo2lDcB-tlTBhmYAn~G2YHam62R07XVpPMkTclEPWs2wu8MXXTz0DnGaY3YF7HkvbtBz~9XHa7123ODS0G2ydZy8HTcF5ry7gOAylQHdU5LHWQftqnNRu3T-kBXzAMfvofohuaJyuujaP5rNb7Rm7u1uqwNbmBcmGBm~H47-6RG5cUL-oHFdv7jc1sA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA"
"3097";3098;"Taiwan";"TWN";"Taiwan";"02/02/2020";"Social distancing";"Closure of educational institutions";"Closure of primary and secondary schools";"";"";"https://cdn.jamanetwork.com/ama/content_public/journal/jama/938448/jvp200035supp1_prod.pdf?Expires=2147483647&Signature=TqblGVjLDNbIm~4rscGM6Kak6iN4m-ONWtogkLG9v5u0T8oTnjDAsf0B3Sl~6V9LeiazowKyVJz~dh2TbO0-N8-GUFskmeC2n-DyD4xca4Oa-Miam9C9qRWAsaGmzCRgNqijPm~mg9JxwJz~B~p~jE7bIuFCo2lDcB-tlTBhmYAn~G2YHam62R07XVpPMkTclEPWs2wu8MXXTz0DnGaY3YF7HkvbtBz~9XHa7123ODS0G2ydZy8HTcF5ry7gOAylQHdU5LHWQftqnNRu3T-kBXzAMfvofohuaJyuujaP5rNb7Rm7u1uqwNbmBcmGBm~H47-6RG5cUL-oHFdv7jc1sA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA"
"3098";3099;"Taiwan";"TWN";"Taiwan";"03/02/2020";"Social distancing";"Closure of educational institutions";"Closure of universities, research institutions";"";"";"https://cdn.jamanetwork.com/ama/content_public/journal/jama/938448/jvp200035supp1_prod.pdf?Expires=2147483647&Signature=TqblGVjLDNbIm~4rscGM6Kak6iN4m-ONWtogkLG9v5u0T8oTnjDAsf0B3Sl~6V9LeiazowKyVJz~dh2TbO0-N8-GUFskmeC2n-DyD4xca4Oa-Miam9C9qRWAsaGmzCRgNqijPm~mg9JxwJz~B~p~jE7bIuFCo2lDcB-tlTBhmYAn~G2YHam62R07XVpPMkTclEPWs2wu8MXXTz0DnGaY3YF7HkvbtBz~9XHa7123ODS0G2ydZy8HTcF5ry7gOAylQHdU5LHWQftqnNRu3T-kBXzAMfvofohuaJyuujaP5rNb7Rm7u1uqwNbmBcmGBm~H47-6RG5cUL-oHFdv7jc1sA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA"
"3099";3100;"Taiwan";"TWN";"Taiwan";"13/02/2020";"Resource allocation";"Crisis management plans";"Develop all-of-society and business continuity plans";"";"";"https://cdn.jamanetwork.com/ama/content_public/journal/jama/938448/jvp200035supp1_prod.pdf?Expires=2147483647&Signature=TqblGVjLDNbIm~4rscGM6Kak6iN4m-ONWtogkLG9v5u0T8oTnjDAsf0B3Sl~6V9LeiazowKyVJz~dh2TbO0-N8-GUFskmeC2n-DyD4xca4Oa-Miam9C9qRWAsaGmzCRgNqijPm~mg9JxwJz~B~p~jE7bIuFCo2lDcB-tlTBhmYAn~G2YHam62R07XVpPMkTclEPWs2wu8MXXTz0DnGaY3YF7HkvbtBz~9XHa7123ODS0G2ydZy8HTcF5ry7gOAylQHdU5LHWQftqnNRu3T-kBXzAMfvofohuaJyuujaP5rNb7Rm7u1uqwNbmBcmGBm~H47-6RG5cUL-oHFdv7jc1sA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA"
"3100";3101;"Taiwan";"TWN";"Taiwan";"06/02/2020";"Travel restriction";"Denial entry to boats with more than 100 passengers";"All international cruise ships";"";"";"https://www.cdc.gov.tw/En/Bulletin/Detail/91k5k7M3AjnFGHnYsArIFw?typeid=158"
"3101";3102;"Taiwan";"TWN";"Taiwan";"05/02/2020";"Travel restriction";"Denial entry to boats with more than 100 passengers";"With history of travel to China, Hong Kong, or Macau";"Cruise ships with previous dockings in China, Hong Kong, or Macau in past 14 days are banned";"";"https://cdn.jamanetwork.com/ama/content_public/journal/jama/938448/jvp200035supp1_prod.pdf?Expires=2147483647&Signature=TqblGVjLDNbIm~4rscGM6Kak6iN4m-ONWtogkLG9v5u0T8oTnjDAsf0B3Sl~6V9LeiazowKyVJz~dh2TbO0-N8-GUFskmeC2n-DyD4xca4Oa-Miam9C9qRWAsaGmzCRgNqijPm~mg9JxwJz~B~p~jE7bIuFCo2lDcB-tlTBhmYAn~G2YHam62R07XVpPMkTclEPWs2wu8MXXTz0DnGaY3YF7HkvbtBz~9XHa7123ODS0G2ydZy8HTcF5ry7gOAylQHdU5LHWQftqnNRu3T-kBXzAMfvofohuaJyuujaP5rNb7Rm7u1uqwNbmBcmGBm~H47-6RG5cUL-oHFdv7jc1sA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA"
"3102";3103;"Taiwan";"TWN";"Taiwan";"05/02/2020";"Travel restriction";"Denial entry to boats with more than 100 passengers";"With suspected cases or from China";"Cruise ships with suspected cases in past 28 days are banned";"";"https://cdn.jamanetwork.com/ama/content_public/journal/jama/938448/jvp200035supp1_prod.pdf?Expires=2147483647&Signature=TqblGVjLDNbIm~4rscGM6Kak6iN4m-ONWtogkLG9v5u0T8oTnjDAsf0B3Sl~6V9LeiazowKyVJz~dh2TbO0-N8-GUFskmeC2n-DyD4xca4Oa-Miam9C9qRWAsaGmzCRgNqijPm~mg9JxwJz~B~p~jE7bIuFCo2lDcB-tlTBhmYAn~G2YHam62R07XVpPMkTclEPWs2wu8MXXTz0DnGaY3YF7HkvbtBz~9XHa7123ODS0G2ydZy8HTcF5ry7gOAylQHdU5LHWQftqnNRu3T-kBXzAMfvofohuaJyuujaP5rNb7Rm7u1uqwNbmBcmGBm~H47-6RG5cUL-oHFdv7jc1sA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA"
"3103";3104;"Taiwan";"TWN";"Taiwan";"09/01/2020";"Risk communication";"Educate and actively communicate with the public";"Answer to questions";"Telephone hotlines covid-19";"Date unsure";"https://www.cdc.gov.tw/Category/Page/XRPe-3X_vQ0BmYLrvwruSw"
"3104";3105;"Taiwan";"TWN";"Taiwan";"06/01/2020";"Risk communication";"Educate and actively communicate with the public";"Communication via government official site";"";"";"https://www.cdc.gov.tw/En/Bulletin/Detail/Dbg1J9leIDoxseqTHMiaxQ?typeid=158"
"3105";3106;"Taiwan";"TWN";"Taiwan";"06/01/2020";"Risk communication";"Educate and actively communicate with the public";"Communication via social media";"";"";"https://www.cdc.gov.tw/En/Bulletin/Detail/Dbg1J9leIDoxseqTHMiaxQ?typeid=158"
"3106";3107;"Taiwan";"TWN";"Taiwan";"06/01/2020";"Risk communication";"Educate and actively communicate with the public";"Communication via TV, radio";"";"";"https://www.cdc.gov.tw/En/Bulletin/Detail/Dbg1J9leIDoxseqTHMiaxQ?typeid=158"
