"parent","link","child","value"
"Re-opening of outdoor sports facilities","L3-L4","Increased number of people allowed",1
"Re-opening of outdoor sports facilities","L3-L4","Re-opening of outdoor swimming pools",1
"Re-opening of places of worship","L3-L4","",1
"Re-opening of places of worship","L3-L4","Increase number of people allowed",1
"Re-opening of places of worship","L3-L4","Re-opening Adventist places of worship",1
"Re-opening of places of worship","L3-L4","Re-opening Christian places of worship",1
"Re-opening of places of worship","L3-L4","Re-opening Muslim places of worship",1
"Re-opening of places of worship","L3-L4","Temperature screening of congregants",1
"Re-opening of places of worship","L3-L4","With respect to public hygiene",1
"Re-opening of places of worship","L3-L4","With respect to social distancing",1
"Re-opening of places of worship","L3-L4","With respect to social distancing and hand hygiene",1
"Re-opening of public institutions","L3-L4","With respect to social distancing",1
"Re-opening of public outdoor leisure facilities","L3-L4","Outdoor gyms, playgrounds and small facilities in forests",1
"Re-opening of public places","L3-L4","Re-open beaches",2
"Re-opening of public places","L3-L4","Re-opening of parks",2
"Re-opening of public places","L3-L4","With respect to social distancing",1
"Re-opening of restaurants/bars/cafes","L3-L4","50% capacity",2
"Re-opening of restaurants/bars/cafes","L3-L4","Bars",1
"Re-opening of restaurants/bars/cafes","L3-L4","If guidelines respected",1
"Re-opening of restaurants/bars/cafes","L3-L4","Only take-out food",1
"Re-opening of restaurants/bars/cafes","L3-L4","Outdoor gardens in restaurants",2
"Re-opening of restaurants/bars/cafes","L3-L4","Outdoor premises in restaurants",1
"Re-opening of restaurants/bars/cafes","L3-L4","Restaurants",1
"Re-opening of restaurants/bars/cafes","L3-L4","Service on-site allowed",1
"Re-opening of restaurants/bars/cafes","L3-L4","With respect to social distancing",1
"Re-opening of secondary schools","L3-L4","",1
"Re-opening of secondary schools","L3-L4","With respect to social distancing",1
"Re-opening of short-term accommodations and hotels","L3-L4","",1
"Re-opening of short-term accommodations and hotels","L3-L4"," For all guests with adaptive measures",1
"Re-opening of short-term accommodations and hotels","L3-L4","Re-opening guesthouses",1
"Re-opening of universities","L3-L4","",1
"Re-opening of university","L3-L4","",1
"Re-opening of vocational technical colleges","L3-L4","",1
"Re-opening of workplaces","L3-L4","50% capacity",1
"Re-opening of workplaces","L3-L4","Adapt work schedule and reduce worker density",1
"Re-opening of workplaces","L3-L4","Restore normal working times",1
"Re-opening of workplaces","L3-L4","Resume manufacturing, construction, real estate brokerage and wholesale trade",1
"Reassure on food security","L3-L4","",1
"Receive hydroxychloroquine","L3-L4","Sent by India",1
"Recommend to prepare to receive patients","L3-L4","",2
"Recommendations for kindergartens","L3-L4","Disinfection of the shoes",1
"Recommendations for people managing public places","L3-L4","",1
"Recommendations for schools","L3-L4","",1
"Recommendations for schools","L3-L4","Recommendations for e-learning",3
"Recommendations for universities","L3-L4","Recommendations for e-learning",1
"Recommendations for vulnerable populations","L3-L4","Drug users",1
"Recommendations for work safety protocols","L3-L4","",3
"Recommendations for work safety protocols","L3-L4","Encourage businesses to implement sick leave policies",1
"Recommendations for work safety protocols","L3-L4","Encourage home office",7
"Recommendations for work safety protocols","L3-L4","For employees in essential institutions",2
"Recommendations for work safety protocols","L3-L4","For essential services and critical infrastructures",1
"Recommendations for work safety protocols","L3-L4","For local government and law enforcement agencies",1
"Recommendations for work safety protocols","L3-L4","For workers in contact with the public",1
"Recommendations for work safety protocols","L3-L4","Hygiene guidelines and protection for workers and visitors",1
"Recommendations for work safety protocols","L3-L4","Implement protocols for prevention of contamination at workplace",2
"Recommendations for work safety protocols","L3-L4","Implement social distancing, protective and disinfection measures",1
"Recommendations for work safety protocols","L3-L4","Social distancing, hygiene, and other recommendations",1
"Recommendations to hospital and medical institutions","L3-L4","Guidelines: preparedness plan",2
"Recommendations to physicians","L3-L4","Encourage telemedicine",1
"Reduce close physical contact in workplaces","L3-L4","",1
"Reduce close physical contact in workplaces","L3-L4","Reduce close physical contact in for notary functions",2
"Reduce ferry transport service","L3-L4","Ferry",1
"Reduce quarantine period","L3-L4","Reduce quarantine period from 14 to 10 days",1
"Reduce service","L3-L4","Buses",1
"Reduce service","L3-L4","Metro",1
"Reduce service","L3-L4","Rail",1
"Reduce service","L3-L4","started to reduce number of trips, corridors and timetables",1
"Reduction of excursions, out-of-house events","L3-L4","",6
"Reduction of excursions, out-of-house events","L3-L4","in preschools and schools",1
"Reduction of excursions, out-of-house events","L3-L4","schools will suspend inter-school and external activities",1
"Reduction of excursions, out-of-house events","L3-L4","trips abroad suspended",1
"Reduction of excursions, out-of-house events","L3-L4","Trips abroad suspended",1
"Rehabilitation and and special education classes","L3-L4","If guidelines respected",1
"Relaxation of data protection law","L3-L4","Data on ethnicity of Covid-19 patients",1
"Relaxation of data protection law","L3-L4","Emergency workers can access information about addresses of people tested positive to Covid-19",1
"Relaxation of data protection law","L3-L4","Enable access to confidential patient information",5
"Relaxation of data protection law","L3-L4","Government transmits data on passengers entering the country",1
"Remote Psychotherapy Consultation","L3-L4","",1
"Repurpose domestic forces","L3-L4","Reduce need of repurposed forces for other purposes than Covid-19",1
"Repurpose government plans","L3-L4","",1
"Repurpose government plans","L3-L4","Cost containment strategies in government institutions",1
"Repurpose government plans","L3-L4","Economic aid to municipalities",1
"Repurpose government plans","L3-L4","Economic aid to online public library service",1
"Repurpose government plans","L3-L4","Emergency funds",31
"Repurpose government plans","L3-L4","For R&D works directed to help in the fight against coronavirus",1
"Repurpose government plans","L3-L4","Funding to community-based organisations",1
"Repurpose government plans","L3-L4","Major Disaster Fund",1
"Repurpose government plans","L3-L4","The government changed the whole board of directors of the main hospital",1
"Requisition private hospitals","L3-L4","",2
"Research of contacts","L3-L4","Call for all passenger that travelled in that bus, infected person was imported case - one bus passenger infected on a domestic journey",1
"Residential social institutions","L3-L4","",1
"Respirators","L3-L4","",13
"Respirators","L3-L4","Imported from Germany",1
"Respiratory etiquette","L3-L4","",3
"Respiratory etiquette","L3-L4","Advice campaign for not touching eyes/nose/mouth",18
"Respiratory etiquette","L3-L4","Advice campaign for sneezing/coughing in the elbow",36
"Respiratory etiquette","L3-L4","Advice for correct use of face masks",2
"Respiratory etiquette","L3-L4","Cover you mouth when sneezing/coughing",2
"Respiratory etiquette","L3-L4","Do not touch eyes/nose/mouth",5
"Respiratory etiquette","L3-L4","Promote the use of face masks",32
"Respiratory etiquette","L3-L4","Promote the use of face masks in places where it is still necessary",1
"Respiratory etiquette","L3-L4","Promote use of face masks",1
"Respiratory etiquette","L3-L4","Recommendations for protecting the others, twitter",1
"Respiratory etiquette","L3-L4","Respiratory etiquette",1
"Respiratory etiquette","L3-L4","Sneeze/cough in the elbow",4
"Respiratory etiquette","L3-L4","Special recommendations for certain workers",1
"Respiratory etiquette","L3-L4","Warning on the use of cloth masks",1
"Restaurants","L3-L4","Can open if < 50 persons",2
"Restaurants","L3-L4","Can open if respect social distancing measures",3
"Restaurants","L3-L4","Can still operate at 1/3 capacity",1
"Restaurants","L3-L4","Can still operate at 50 per cent capacity",2
"Restaurants","L3-L4","Ease legislation on deliveries and take-away",1
"Restaurants","L3-L4","Only delivery",2
"Restaurants","L3-L4","Only take-away or delivery",2
"Restaurants","L3-L4","Temperature check at entrance ",1
"Restriction in number of people in child care settings","L3-L4","",1
"Restriction of freight transport","L3-L4","From high-risk areas : Austria, Belgium, Switzerland, USA, UK, Netherlands, Turkey, Iran",1
"Restriction on private and familial events","L3-L4","Funerals and weddings: Limit up to 10 persons",1
"Restriction on private and familial events","L3-L4","Funerals: Limit up to 10 persons",2
"Restriction on private and familial events","L3-L4","Funerals: Limit up to 100 persons",1
"Restriction on private and familial events","L3-L4","Funerals: Limit up to 25 persons",1
"Restriction on private and familial events","L3-L4","Limit up to 8 persons",1
"Restriction on private and familial events","L3-L4","Prohibition of burial at sea or cremation",1
"Restriction on private and familial events","L3-L4","Prohibition of family celebrations",3
"Restriction on private and familial events","L3-L4","Prohibition of funerals and weddings",1
"Restriction on private and familial events","L3-L4","Prohibition of private and familial events",2
"Restriction on private and familial events","L3-L4","Wedding: limited number of persons",1
"Restrictions on exams","L3-L4","Exams postoned",4
"Restrictions on exams","L3-L4","Exams postponed",1
"Restrictions on exams","L3-L4","Implement safety measures for the exams",1
"Restrictions on the movements of children","L3-L4","Prohibition of minors <13 year old to go out alone",1
"Restrictions on the movements of children","L3-L4","Prohibition of minors <18 year old to go out alone",1
"Resume activity in gastronomy and trade facilities","L3-L4","Increased number of people allowed",1
"Resume domestic flights","L3-L4","Partial",1
"Resume indoor hobbies and leisure activities","L3-L4","Re-opening of bingo halls",1
"Resume indoor sport activities","L3-L4","Swimming competitions/training without spectators",1
"Resume international flights","L3-L4","Charter flights allowed to other states for Romanian seasonal workkers",1
"Resume international flights","L3-L4","Passengers from countries considered at low risk",1
"Resume international flights","L3-L4","Passengers from Finland, Italy, Estonia, Ireland, and France allowed",1
"Resume international flights","L3-L4","With a defined health protocol",1
"Resume one-to-one courses","L3-L4","Re-opening of driving schools",7
"Resume outdoor activities","L3-L4","Re-open private beaches",1
"Resume outdoor sports and activities","L3-L4","Limit up to 20 persons",1
"Resume outdoor sports and activities","L3-L4","Limit up to 3 persons",1
"Resume outdoor sports and activities","L3-L4","Limit up to 6 persons",1
"Resume outdoor sports and activities","L3-L4","Resume indoor contactless sport",1
"Resume outdoor sports and activities","L3-L4","Resume outdoor contactless sports",3
"Resume outdoor sports and activities","L3-L4","Resume scouting and other outdoor activities",1
"Resume outdoor sports and activities","L3-L4","Resume sport activities for children",1
"Resume outdoor sports and activities","L3-L4","Segmentation of the population",1
"Resume outdoor sports and activities","L3-L4","With respect to social distancing",1
"Resume private services","L3-L4","MOT and emission control services, leasing services, bicycle shops and services, notaries and lawyers, building,paints, varnishes, installation and wiring stores, collection yards, echnology service, key services",1
"Resume private services","L3-L4","Services for up to 15 people",1
"Resume private services","L3-L4","Taxi service",2
"Resume public services","L3-L4","Only with appointment",1
"Resume public services","L3-L4","Re-opening of social facilities",1
"Resume public transport","L3-L4","International passenger train operate again",1
"Resume public transport","L3-L4","Resumption of city and suburban lines",1
"Resume public transport","L3-L4","Resumption of intercity transports",2
"Resumption of educational programmes for adults and immigrants","L3-L4","",1
"Return operation of national tourists abroad","L3-L4","",1
"Return operation of nationals in Bangladesh","L3-L4","4 charter flights from 21 to 26 April",1
"Return operation of nationals in Brazil","L3-L4","Special measure: Quarantine",1
"Return operation of nationals in China","L3-L4","Special measure: quarantine",2
"Return operation of nationals in China","L3-L4","Special measure: Quarantine",3
"Return operation of nationals in China , South Korea, Japan, Singapore, Iran and northern Italy (Lombardy, Veneto, Piedmont, Emilia Romagna)","L3-L4","Special measure: Quarantine",1
"Return operation of nationals in China, Italy, Japan, Iran, South Korea","L3-L4","State University of New York abroad students",1
"Return operation of nationals in Costa Rica","L3-L4","Special measure: Quarantine",1
"Return operation of nationals in different countries (pupils on exchange)","L3-L4","Special measure: Quarantine",1
"Return operation of nationals in Guyana","L3-L4","",1
"Return operation of nationals in high-risk regions","L3-L4","Students from State University of New York that are abroad must return home",1
"Return operation of nationals in India","L3-L4","",1
"Return operation of nationals in India","L3-L4","17 charter flights from 20 to 27 April",1
"Return operation of nationals in Iran","L3-L4","Special measure: Quarantine",1
"Return operation of nationals in Israel","L3-L4","Special measure: Quarantine",1
"Return operation of nationals in Italy","L3-L4","Special measure: Quarantine",2
"Return operation of nationals in Jamaica","L3-L4","",1
"Return operation of nationals in Morocco","L3-L4","Special measure: Quarantine",1
"Return operation of nationals in MS Westerdam","L3-L4","Special measure: Quarantine",1
"Return operation of nationals in New Zealand","L3-L4","Prioritize most vulnerable persons",1
"Return operation of nationals in Nigeria","L3-L4","3 charter flights from 28/04/2020 to 05/05/2020",1
"Return operation of nationals in North Korea","L3-L4","Special measure: Quarantine",1
"Return operation of nationals in Pakistan","L3-L4","10 charter flights from 30/04/2020 to 07/05/2020",1
"Return operation of nationals in Peru, Colombia","L3-L4","Special measure: Quarantine",1
"Return operation of nationals in Philppines","L3-L4","",1
"Return operation of nationals in regions at risk:  Italy, Spain, Poland, Germany, Morocco, Iraq, Northern Macedonia, Urkraine","L3-L4","Special measure: Quarantine",1
"Return operation of nationals in Shanghai","L3-L4","Special measure: Quarantine",2
"Return operation of nationals in Sint Maarten","L3-L4","",1
"Return operation of nationals in United Kingdom","L3-L4","Special measure: Quarantine",1
"Return operation of nationals in Wuhan and/or Hubei","L3-L4","",1
"Return operation of nationals in Wuhan and/or Hubei","L3-L4","Special measure: Quarantine",27
"Return operation of nationals in Wuhan and/or Hubei","L3-L4","Special measure: State-facilitated Quarantine",1
"Return operation of nationals in Wuhan and/or Hubei","L3-L4","Special measures: Quarantine, test, monitoring",4
"Return operation of nationals in Wuhan, China","L3-L4","Special measure: quarantine and test",1
"Return operation of nationals living abroad","L3-L4","",1
"Return operation of nationals on international cruise","L3-L4","",1
"Return operation of nationals on the Diamond Princess cruise ship","L3-L4","",1
"Return operation of nationals on the Diamond Princess cruise ship","L3-L4","Special measure: Quarantine",4
"Return operation of nationals on the Grand Princess cruise ship","L3-L4","",1
"Return operation of nationals on the Grand Princess cruise ship","L3-L4","Special measure: Quarantine",3
"Return operation of nationals on Westerdam","L3-L4","Special measure: quarantine",1
"Return operation of nationals on Westerdam cruise ship","L3-L4","Special measure: Quarantine",1
"Risk assessment before an event","L3-L4","",4
"Risk assessment before an event","L3-L4","All public bodies of departments and agencies of the State must consider postponing public meetings or agenda items that may be deferred",1
"Risk assessment before an event","L3-L4","Cancellation, postponement, or downscaling,  nation-wide events",1
"Risk assessment before an event","L3-L4","Guidelines",1
"Risk assessment before an event","L3-L4","Risk assessment for mass gatherings advised by Robert Koch Institute",1
"Risk assessment before an event","L3-L4","Safety recommendations",1
"Risk assessment before an event","L3-L4","Social distancing",1
"Risk assessment before an event","L3-L4","Spectators excluded",1
"Risk management plan","L3-L4","Contingency plan",2
"Risk management plan","L3-L4","Country-wide alert level system",1
"Risk management plan","L3-L4","Emergency plan",23
"Risk management plan","L3-L4","Government taskforce",1
"Risk management plan","L3-L4","Highest level of alert",1
"Risk management plan","L3-L4","Mobilize other forces",1
"Risk management plan","L3-L4","Nationwide guidelines",1
"Risk management plan","L3-L4","New task force",3
"Risk management plan","L3-L4","Raised emergency level",1
"Risk management plan","L3-L4","Raised emergency level to 2 of 3",2
"Risk management plan","L3-L4","Raised emergency level to 3 of 3",1
"Risk management plan","L3-L4","Raised to alert level 3",1
"Risk management plan","L3-L4","Raised to alert level 4",1
"Risk management plan","L3-L4","Scientific task force",1
"Risk management plan","L3-L4","Set up crisis unit (national)",61
"Risk management plan","L3-L4","Set up crisis unit (regional)",7
"Risk management plan","L3-L4","Update preparedness plan",1
"Role of Frontline Workers in Prevention and Management of CORONA VIRUS","L3-L4","",1
"Rules for exams","L3-L4","",2
"Safer-at-home Order","L3-L4","",1
"Safety during sport practice","L3-L4","",2
"Secondary schools","L3-L4","Office hours",1
"Secure necessary medical equipment stocks and distribution","L3-L4","",2
"Secure necessary medical equipment stocks and distribution","L3-L4","Emergency stocks managed by the government",1
"Secure necessary medical equipment stocks and distribution","L3-L4","Website",1
"Segmentation of the population","L3-L4","",1
"Segmentation of the population","L3-L4","According to age",1
"Segmentation of the population","L3-L4","According to the completion of the digits of ID document",1
"Segmentation of the population","L3-L4","For the use of cars",1
"Segmentation of the population","L3-L4","Special hours for the elderly to cover their basic needs",1
"Segmentation of the population","L3-L4","To avoid massive queue to buy necessity goods",1
"Send medical staff","L3-L4","To Lombardy (Italy)",1
"Sensitization of hospital, medico-social and liberal health professionals","L3-L4","",7
"Sensitization of hospital, medico-social and liberal health professionals","L3-L4","COVID-19 Health Service Providers Toolkit",1
"Sensitization of hospital, medico-social and liberal health professionals","L3-L4","Documentation",1
"Sensitization of hospital, medico-social and liberal health professionals","L3-L4","Guidelines on Clinical Management of COVID-19",1
"Sensitization of hospital, medico-social and liberal health professionals","L3-L4","Guidelines to prevent Covid19 Transmission",1
"Ship transports suspended","L3-L4","Tallinn-Stockholm-Tallinn",1
"Short-term accomodation: partial closure","L3-L4","At maximum fifty percent occupancy",1
"Simplification of the health journey","L3-L4","",2
"Simplification of the health journey","L3-L4","Allow emergency medical services to transport patients to locations other than those formerly approved",1
"Simplification of the health journey","L3-L4","Authorize audio-only call for health care services",3
"Simplification of the health journey","L3-L4","Authorize telemedicine",7
"Simplification of the health journey","L3-L4","Authorize telemedicine for mental health",2
"Simplification of the health journey","L3-L4","Ease regulations on the prescription and distribution of pharmaceutical drugs",1
"Simplification of the health journey","L3-L4","Eliminate restrictions on ambulance services",1
"Simplification of the health journey","L3-L4","Expand the use of and access to telemedicine",3
"Simplification of the health journey","L3-L4","For suspected cases",1
"Simplification of the health journey","L3-L4","Health insurance companies cover the cost of telemedicine",1
"Simplification of the health journey","L3-L4","Implement telemedicine app",1
"Simplification of the health journey","L3-L4","Isolation note through online service for employees in isolation",1
"Simplification of the health journey","L3-L4","Specialist consultations by family doctors for chronically ill patients",1
"Simplify clinical trials regulations","L3-L4","Any emergency medical treatment protocol development or modification can occur solely with the approval of the Commissioner of Health",1
"Simplify clinical trials regulations","L3-L4","Faster licensing procedure",1
"Small hospitals used to reduce burden on hospitals dealing with covid-19 patients","L3-L4","",1
"Social institutions","L3-L4","Ban visit",1
"Some airports dedicated to receive international flights","L3-L4","Americans returning from restricted countries must travel through one of 13 listed airports",1
"Some airports dedicated to receive international flights","L3-L4","For incomings from Germany, France, Italy, Austria, Spain",1
"Some airports dedicated to receive international flights","L3-L4","International flights to Canada from outside the Caribbean, Mexico, and the U.S. were instructed to land at only one of four airports: Calgary International Airport, Montreal Trudeau International Airport, Toronto Pearson International Airport, and Vancouver International Airport",1
"Some hospitals dedicated to covid19 patients","L3-L4","",8
"Some hospitals dedicated to covid19 patients","L3-L4","South Pest Central Hospital is freed",1
"Special section for covid19 patients","L3-L4","Severe cases",1
"Specific health channel for travellers","L3-L4"," Symptomatic air passengers from Spain, France, UK, Germany, Netherlands",1
"Specific health channel for travellers","L3-L4","Air passengers arriving from affected areas",1
"Specific health channel for travellers","L3-L4","Air passengers arriving from China, Hong Kong and Macao",1
"Specific health channel for travellers","L3-L4","Air passengers arriving from China, South Korea, Japan, Iran or Italy",1
"Specific health channel for travellers","L3-L4","Air passengers arriving from Wuhan",2
"Specific health channel for travellers","L3-L4","All foreigners air passengers",1
"Specific health channel for travellers","L3-L4","Chinese air passengers with a passport issued in Hubei",1
"Specific health channel for travellers","L3-L4","National passengers arriving from China",2
"Specific health channel for travellers","L3-L4","Symptomatic air passengers from Europe",1
"Specific health channel for travellers","L3-L4","Symptomatic air passengers from Italy and Iran",1
"Specific health channel for travellers","L3-L4","Symptomatic air passengers with a travel history to Wuhan",2
"Specific measures to avoid congestion","L3-L4","50% capacity of the vehicle",2
"Specific measures to avoid congestion","L3-L4","Access through all doors",1
"Specific measures to avoid congestion","L3-L4","Limit number of passengers sitting",1
"Specific measures to avoid congestion","L3-L4","Reduce number of passengers",1
"Specific measures to avoid congestion","L3-L4","Stricter limits on number of passengers allowed in public transports",3
"Specific measures to avoid congestion","L3-L4","Stricter limits on number of passengers allowed in public transports ",1
"Specific measures to avoid congestion","L3-L4","Stricter limits on number of passengers allowed in public transports: Busses",1
"Speed notification","L3-L4","",1
"Sport competitors can resume training","L3-L4","",1
"Sport competitors can resume training","L3-L4","First league speedway trainings and competitions",1
"Sport competitors can resume training","L3-L4","Individual sports and senior competitors",2
"Sport competitors can resume training","L3-L4","Resume indoor contactless sport for competitors",1
"Sport competitors can resume training","L3-L4","Resume profesional sport training",1
"Sport events","L3-L4","",38
"Sport events","L3-L4","Ban rallies at three major public squares in the city center",1
"Sport events","L3-L4","football, indoor and outdoor athletic games, marathon runs etc.",1
"Sport events","L3-L4","Ice hockey",1
"Sport events","L3-L4","Indoor cancelled",1
"Sport events","L3-L4","Judo Olympic qualifying",1
"Sport events","L3-L4","one marathon cancelled",1
"Sport events","L3-L4","outdoor races",1
"Sport events","L3-L4","Postponement of the 2020 Olympic",1
"Sport events","L3-L4","Professional sport competition hold closed",1
"Sport events","L3-L4","school competitions",1
"Sport events","L3-L4","Spectators excluded",2
"Sport events","L3-L4","Sport events are cancelled.",2
"Sports centres with indoor facilities","L3-L4","Can open if respect social distancing measures",1
"Sports centres with indoor facilities","L3-L4","Open if distance + cleaning respected",1
"Start of phase-out strategy plan","L3-L4","",4
"Start of phase-out strategy plan","L3-L4","Government announcement",3
"State aid for fuel supply","L3-L4","For vulnerable populations",1
"State aid, taxation and social security","L3-L4","",6
"State aid, taxation and social security","L3-L4","Automatic lease extension to prevent raising of rent",2
"State aid, taxation and social security","L3-L4","Delaying TV fees for the >75 yo",1
"State aid, taxation and social security","L3-L4","Ease access to financial aid for veterans",1
"State aid, taxation and social security","L3-L4","Ease child care regulations",2
"State aid, taxation and social security","L3-L4","Economic support to GDP",1
"State aid, taxation and social security","L3-L4","Emergency shelters for asylum seekers",1
"State aid, taxation and social security","L3-L4","Enhanced income support for COVID-19 infected people or those in self-isolation",1
"State aid, taxation and social security","L3-L4","Ensure sick leave benefits for people in mandatory quarantine",1
"State aid, taxation and social security","L3-L4","Expand child care access",2
"State aid, taxation and social security","L3-L4","Expand child care access for essential persons",5
"State aid, taxation and social security","L3-L4","Extended deadline for insurance-paying",2
"State aid, taxation and social security","L3-L4","Extension of health insurance",4
"State aid, taxation and social security","L3-L4","Facilitate loans for individuals",2
"State aid, taxation and social security","L3-L4","Facilitate loans for students",2
"State aid, taxation and social security","L3-L4","Financial compensation for parents who stay home for childcare",5
"State aid, taxation and social security","L3-L4","Flexibility of rent payments",4
"State aid, taxation and social security","L3-L4","For vulnerable populations",2
"State aid, taxation and social security","L3-L4","Free parking",2
"State aid, taxation and social security","L3-L4","Government implement a special leave of absence for workers caring for vulnerable persons",1
"State aid, taxation and social security","L3-L4","Government support the obtention of unemployment benefits",41
"State aid, taxation and social security","L3-L4","Guarantee loans for individuals",1
"State aid, taxation and social security","L3-L4","Humanitarian measures",1
"State aid, taxation and social security","L3-L4","Legal protection extended for essential workers",1
"State aid, taxation and social security","L3-L4","Lower interest rates",1
"State aid, taxation and social security","L3-L4","Measures to protect renters and house owners",7
"State aid, taxation and social security","L3-L4","Partial or total deferral of interest payments",1
"State aid, taxation and social security","L3-L4","Partial or total deferral of tax payments",3
"State aid, taxation and social security","L3-L4","Possibility to apply for a withdrawal of private pension savings due to COVID-19",1
"State aid, taxation and social security","L3-L4","Postponement of rate increases",1
"State aid, taxation and social security","L3-L4","Prohibition of lay-offs for temporary contracts due to covid-19",1
"State aid, taxation and social security","L3-L4","Provide access to healthcare to vulnerable populations",1
"State aid, taxation and social security","L3-L4","Redundancy pay for workers who lost their jobs due to covid",1
"State aid, taxation and social security","L3-L4","Refunds families for school transport",1
"State aid, taxation and social security","L3-L4","Social services and seniors",1
"State aid, taxation and social security","L3-L4","State aid for vulnerable populations",3
"State aid, taxation and social security","L3-L4","State supports childcare if parents are doing essential work",5
"State aid, taxation and social security","L3-L4","Support for healthcare providers",1
"State aid, taxation and social security","L3-L4","Support skills development for unemployed and laid-off persons",1
"State aid, taxation and social security","L3-L4","Support to families",2
"State aid, taxation and social security","L3-L4","Support to foreign workers without social security",1
"State aid, taxation and social security","L3-L4","Support to the education and research sector",1
"State aid, taxation and social security","L3-L4","Support workers from large employers in the food sector industry",1
"State aid, taxation and social security","L3-L4","Suspend evictions and foreclosures",18
"State aid, taxation and social security","L3-L4","Suspension of banking fees",1
"State aid, taxation and social security","L3-L4","Suspension of certain administrative requirements",1
"State aid, taxation and social security","L3-L4","Suspension of parents' pay for  daycare centres during the period they are closed",1
"State aid, taxation and social security","L3-L4","Tax and loan relief measures",3
"State aid, taxation and social security","L3-L4","Tax relief measures",22
"State aid, taxation and social security","L3-L4","Tax relief on PPE for certain establishment",1
"State aid, taxation and social security","L3-L4","Temporary benefit scheme for persons outside the EU/EEA area staying in Svalbard",1
"State aid, taxation and social security","L3-L4","Travelers can claim for refund of canceled package travel contracts",1
"State aid, taxation and social security","L3-L4","Waive family contribution to health insurance",1
"State of alert","L3-L4","",1
"Statement on the country level alert","L3-L4","High",1
"Statement on the country level alert","L3-L4","Moderate",1
"Stay-at-home Order","L3-L4","",12
"Strengthen border control","L3-L4","president encourages border police to strengthen border control",1
"Strengthen communication capacities","L3-L4","Increase communication workforce",1
"Strengthen communication capacities","L3-L4","Training of the communication actors",1
"Support e-learning for children in vulnerable environment","L3-L4","",2
"Support to parent","L3-L4","Online resource",1
"Suspected cases","L3-L4","",4
"Suspected cases","L3-L4","All tested for Covid-19 until the test results",1
"Suspected cases","L3-L4","Mandatory",2
"Suspected cases","L3-L4","Symptomatic persons",1
"Suspected cases","L3-L4","warning notice should be place on the front door of home",1
"Suspension of all form of transports","L3-L4","Include private transports",1
"Suspension of passenger railway transports crossing the country border","L3-L4","",1
"Suspension of the requirement for nutrient management plan","L3-L4","Disposal of unused milk",1
"Syndromic surveillance","L3-L4","Activation of the global health monitoring system",1
"Syndromic surveillance","L3-L4","Health screening of the population via phone call or app",5
"Syndromic surveillance","L3-L4","Via an app",1
"Targeted surveillance","L3-L4","For people working in essential services",1
"Targeted testing","L3-L4","Caregivers for vulnerable groups",2
"Targeted testing","L3-L4","Health checks for healthcare professionals",1
"Targeted testing","L3-L4","Test all essential workers and members of their household",1
"Targeted testing","L3-L4","Test healthcare workers",4
"Targeted testing","L3-L4","Test incomings Japanese nationals and visiting foreigners",1
"Targeted testing","L3-L4","Test most exposed workers",4
"Targeted testing","L3-L4","Test of residents of institutions hosting vulnerable populations",3
"Targeted testing","L3-L4","Test seafarers",1
"Targeted testing","L3-L4","Test strategy implemented in institutions hosting vulnerable population: test of healthcare providers",3
"Targeted testing","L3-L4","Test vulnerable populations",1
"Technical classes","L3-L4","Professional practice",1
"Temperature screening at airport","L3-L4","Measure temperature of all passengers",12
"Temperature screening at airport","L3-L4","Measure temperature of passengers from China",13
"Temperature screening at airport","L3-L4","Measure temperature of passengers from Egypt and Syria",1
"Temperature screening at airport","L3-L4","Measure temperature of passengers from Hong Kong, Macau, South Korea and Taiwan",1
"Temperature screening at airport","L3-L4","Measure temperature of passengers from Hubei",2
"Temperature screening at airport","L3-L4","Measure temperature of passengers from Iran and South Korea",1
"Temperature screening at airport","L3-L4","Measure temperature of passengers from Italy",1
"Temperature screening at airport","L3-L4","Measure temperature of passengers from Japan and Singapore",1
"Temperature screening at airport","L3-L4","Measure temperature of passengers from Northern Italy",1
"Temperature screening at airport","L3-L4","Measure temperature of passengers from South Korea",1
"Temperature screening at airport","L3-L4","Measure temperature of passengers from Wuhan",1
"Temperature screening at airport","L3-L4","Self-screening of the temperature by the passengers",1
"Temperature screening at the border","L3-L4","",8
"Temperature screening at the border","L3-L4","at border with Italy",1
"Temperature screening at the border","L3-L4","compulsory temperature checking",1
"Temperature screening at the border","L3-L4","Incomings from China",1
"Temperature screening at the border","L3-L4","Temperature screening at ports",4
"Temperature screening at the border","L3-L4","Train from Wuhan",1
"Temperature screening at the border","L3-L4","Travellers from Wuhan",1
"Temperature screening to access public transports","L3-L4","Self-screening of the temperature",1
"Temperature screening to access public transports","L3-L4","Thermal scanners at train stations",3
"Temporary reduction of service","L3-L4"," 27 Canadian land border locations.",1
"Temporary reduction of service","L3-L4","USA border",1
"Test at the border","L3-L4","",2
"Test at the border","L3-L4","All incomings",3
"Test at the border","L3-L4","all travellers",1
"Test at the border","L3-L4","Asylum seekers",1
"Test at the border","L3-L4","For citizens",1
"Test at the border","L3-L4","Incoming from Europe",1
"Test at the border","L3-L4","incoming from USA",1
"Test at the border","L3-L4","International arrivals",1
"Test at the border","L3-L4","Italy",1
"Test at the border","L3-L4","Travellers entering Singapore and exhibiting fever and/or other symptoms of respiratory illness",1
"Test contact or at risk of contact persons","L3-L4","",5
