,Measure_L1,Measure_L2,Measure_L3,Measure_L4
2448,Healthcare and public health capacity,Enhance hand hygiene,Presence of soap lotion in public toilets,
2449,Environmental measures,Environmental cleaning and disinfection,Public places with high human traffic,
2450,Environmental measures,Environmental cleaning and disinfection,Working places,"areas with high human contact, such as counters, lifts, pantries, toilets, and bin areas"
2451,Resource allocation,Provide international help,,
2452,"Case identification, contact tracing and related measures",Isolation of cases,,"patient 1 with fever tested, isolated"
2453,"Case identification, contact tracing and related measures",Isolation of cases,,isolation of people with fever and acute respiratory problems who came back from Wuhan in the last 14 days
2454,Social distancing,Mass gathering cancellation,All,all mass events
2455,Social distancing,Mass gathering cancellation,Complete prohibition of gathering,groups maximal 10 people
2461,Social distancing,Mass gathering cancellation,Place of worship,four mosques closeed
2462,Social distancing,Mass gathering cancellation,Place of worship,"all mosques closed for at least five days for disinfection, 14 days closed all activities"
2463,Social distancing,Measures for special populations,Measures to limit contact to hospital patients,visitor limit of two per patient in hospitals
2464,Social distancing,Measures for special populations,Measures to limit contact to the elderly,suspend activities with the elderly in government agencies
2465,Social distancing,Measures for special populations,Measures to limit contact to the elderly,reduce or suspend activities with the elderly
2466,Travel restriction,Non-essential travels forbidden,,Public sector agencies defer official trips abroad
2468,"Case identification, contact tracing and related measures",Quarantine,All incomings,"all countries, worldwide"
2471,"Case identification, contact tracing and related measures",Quarantine,All incomings from high-risk areas,MOH is contacting all recent travellers from Hubei who are in Singapore who have arrived in the last 14 days
2473,"Case identification, contact tracing and related measures",Quarantine,All incomings from high-risk areas,quarantine all Singapore residents with travel history to to Daegu and Cheongdo within the last 14 days
2475,"Case identification, contact tracing and related measures",Quarantine,All incomings from high-risk areas,14-day Stay-Home Notice for all returnees with recent travel history to China (outside Hubei) within the last 14 days
2476,"Case identification, contact tracing and related measures",Quarantine,All incomings from high-risk areas,"Italy, France, Spain, Germany"
2477,"Case identification, contact tracing and related measures",Quarantine,All incomings from high-risk areas,"ASEAN countries, Japan, Switzerland, United Kingdom"
2479,"Case identification, contact tracing and related measures",Enhance detection system,Research and test of contacts,"travel companions identified, contacted and tested if still in Singapore"
2481,Healthcare and public health capacity,Scale up emergency response mechanisms,Raise level of emergency plan,nation's Disease Outbreak Response System Condition (DORSCON) raised level from yellow to orange
2482,Social distancing,Special measures for certain establishments,Cultural events,"theatres, cinemas, concerts, etc."
2484,Social distancing,Special measures for certain establishments,Cultural events,partial
2486,Social distancing,Special measures for certain establishments,"Museums, events",
2487,Social distancing,Special measures for certain establishments,Sport centers,
2488,"Case identification, contact tracing and related measures",Specific health channel for travellers,Chinese with passport issued in Hubei,all Chinese with passport issued in Hubei entering Singapore referred to health station at airport
2489,"Case identification, contact tracing and related measures",Surveillance,Use existing respiratory disease surveillance systems and hospital-based surveillance,new form of pneumonia in Wuhan
2490,"Case identification, contact tracing and related measures",Tracing and monitoring,"App ""TraceTogether"" ",Voluntary
2491,Social distancing,Work safety protocols,,"daily health check and fever measure, at work"
2496,Travel restriction,Airport restriction,Denial entry of travellers from high risk areas other than China,Italy
2498,Travel restriction,Cancellation of international flights,Also national,
2505,Risk communication,Educate and actively communicate with the public,Activate communication to the public,"national -tv, press"
2506,Risk communication,Educate and actively communicate with the public,Enhance communication to the public,SMS to all Slovak citizens abroad
2508,Risk communication,Educate and actively communicate with the public,Scale up communication to the public,Flyers
2513,Social distancing,Mass gathering cancellation,all,
2524,"Case identification, contact tracing and related measures",Tracing and monitoring,Nationals who travelled to at risk areas,Italy
2525,Risk communication,Educate and actively communicate with the public,Warning against travel to and return from risk areas,Advice against all travel
2528,Social distancing,Mass gathering cancellation,Limit up to 500 persons,indoor public gatherings
2529,"Case identification, contact tracing and related measures",Airport health check,Measure temperature for all passengers,for all passengers
2530,"Case identification, contact tracing and related measures",Border health check,Measure temperature,at border with Italy
2531,Healthcare and public health capacity,Enhance healthcare capacity,Healthcare equipment,Increase number of masks
2532,Risk communication,Educate and actively communicate with the public,Encourage self-initiated quarantine,Urge ill workers to stay at home
2533,Risk communication,Educate and actively communicate with the public,Answer to questions,provide telephone hotlines covid-19
2534,Risk communication,Educate and actively communicate with the public,Incoming travellers,SMS notification for incoming travellers
2536,Risk communication,Educate and actively communicate with the public,Guidelines,Mailbox leaflets
2537,Risk communication,Educate and actively communicate with the public,Encourage medical consultation by phone,
2538,Social distancing,Closure of educational institutions,Partial closure of educational institutions,Partial closure of universities
2539,Social distancing,Mass gathering cancellation,Limit up to 500 persons,Outdoor
2541,Travel restriction,Border restriction,Borders closed for travellers but open for transport of goods,Italy
2543,Travel restriction,Airport restriction,Denial entry of travellers from high risk areas other than China,"South Korea, Iran, and high-risk areas in Italy"
2544,"Case identification, contact tracing and related measures",Border health check,Test at the border,Italy
2546,Travel restriction,Border restriction,Borders closed for people from high-risk areas other than China,Incomings from Italy
2547,Healthcare and public health capacity,Activate emergency response mechanisms,National Protection and Rescue Plan activated,epidemic declared
2548,Resource allocation,Crisis management plans,Implement repurpose community services plans,financial compensation for parents who stay home for childcare
2549,Healthcare and public health capacity,Increase healthcare workforce,Exception to work law allowed,Vacation for healthcare professionals banned
2550,Healthcare and public health capacity,Increase healthcare workforce,Exception to work law allowed,Prohibition of strike for healthcare professionals
2551,Social distancing,Measures for special populations,Prisons,Closed for visitors
2552,Healthcare and public health capacity,Activate emergency response mechanisms,Set up crisis units,National
2553,"Case identification, contact tracing and related measures",Restriction in testing,Only in patients requiring hospitalization,
2554,Healthcare and public health capacity,Reduce the burden on health systems,Promote self-initiated quarantine for people with mild respiratory symptoms,
2555,Resource allocation,Setting price for specific protective products,all protective equipment,
2556,Healthcare and public health capacity,Increase availability of PPE,PPE for care facilities for elderly ,
2557,Healthcare and public health capacity,Increase healthcare workforce,Mobilization of domestic resources for health,mobilize doctors without license
2559,Environmental measures,Environmental cleaning and disinfection,Taxi,
2560,Social distancing,Public transport,Prohibition,bus
2561,Social distancing,Public transport,Prohibition,rail
2562,Risk communication,Actively communicate with stakeholders,Encourage work safety protocols,
2568,Social distancing,Mass gathering cancellation,Indoor activities,sports
2569,Social distancing,Small gathering cancellation,Closure of non-essential public places,recreational places
2570,Social distancing,Small gathering cancellation,Closure of non-essential shops,"hairdressing, cosmetics, pedicure services, gaming"
2572,Social distancing,Special measures for certain establishments,Food services,delivery from restaurants allowed
2573,Social distancing,Special measures for certain establishments,Essential shops,"opening hours essential stores reduced, Sunday also open, supervised entry"
2574,Travel restriction,Airports closing for all international flights,Except for Humanitarian and Medical Transport,
2575,Travel restriction,Stop public transports,"cable cars, funiculars",
2576,Risk communication,Educate and actively communicate with the public,Scale-up communication to the public,mobile message to inform public about gathering ban
2577,"Case identification, contact tracing and related measures",Border health check,Health screening,non-citizens
2578,"Case identification, contact tracing and related measures",Border health check,Health certificate requested,non-citizens
2580,Social distancing,Small gathering cancellation,Total,Except 5 co-workers or persons from same household
2582,Resource allocation,Crisis management plans,Develop all-of-society and business continuity plans,Lower electricity bills for household customers and small business customers
2583,Social distancing,Special measures for certain establishments,Food services,Grocery stores opens 8am-6pm
2585,Resource allocation,Crisis management plans,Develop all-of-society and business continuity plans,"sick pay during epidemic covered by the Health Insurance Institute of Slovenia, not the employer"
2586,Risk communication,Educate and actively communicate with the public,Encourage donation for covid19 crisis,Bank accout opened for donation
2587,Travel restriction,Border restriction,Border control,with Austria
2588,Environmental measures,Environmental cleaning and disinfection,Frequently touched common surfaces in multi-apartment buildings,
2589,Resource allocation,Crisis management plans,Develop all-of-society and business continuity plans,"Benefits for self-employed, students, pensioners"
2590,Risk communication,Educate and actively communicate with the public,Hand hygiene,warning note in front of lift
2591,Healthcare and public health capacity,Mandatory use of masks in special cases,indoors,
2592,Social distancing,Measures for special populations,Special hours for shopping, shop access by vulnerable population between 8am-10am.
2593,Travel restriction,Individual movement restrictions,Prohibition of moving out the municipality of residence, ban on moving outside the municipality of permanent or temporary residence
2594,Environmental measures,Environmental cleaning and disinfection,Cheongdo Daenam hospital,
2595,Risk communication,Educate and actively communicate with the public,Discourage non-essential travels,minimize gathering events and outdoor activities.
2596,Risk communication,Educate and actively communicate with the public,Activate communication to the public,Information campaign about Covid-19 prevention
2598,Healthcare and public health capacity,Increase healthcare workforce,Mobilize doctors,24 more doctors deployed to Daegu�
2600,Healthcare and public health capacity,Enhance laboratory testing,Increase testing capacity (number tests),in total 22 virus-detection centers in Daegu
2601,"Case identification, contact tracing and related measures",Enhance detection system,Testing every persons in high-risk facilities,
2603,"Case identification, contact tracing and related measures",Surveillance,Implement community-based surveillance,"Restaurants, offices, hotels, and others check temperature before entry"
2604,"Case identification, contact tracing and related measures",Tracing and monitoring,Contacts monitored via phone to check any symptom,member list of Shincheonji religious sect
2605,"Case identification, contact tracing and related measures",Isolation of cases,System is scaled-up,More focused on isolating and treating potential cases
2606,"Case identification, contact tracing and related measures",Tracing and monitoring,Suspected cases,
2607,Healthcare and public health capacity,Scale up emergency response mechanisms,Mobilize other forces,Fire trucks for transporting suspects
2610,Healthcare and public health capacity,Enhance laboratory testing,Increase testing capacity (number tests),Drive-by Testing
2611,Social distancing,Mass gathering cancellation,,Ban rallies at three major public squares in the city center
2612,Social distancing,Mass gathering cancellation,"Festivals, faith-based events",close down Shincheonji churches
2613,Social distancing,Mass gathering cancellation,Closure of non-essential public places,"ban the use of Seoul plaza, Cheonggye plaza and Gwanghwamun plaza"
2614,Risk communication,Actively communicate with healthcare professionals,"Sensitization of hospital, medico-social and liberal health professionals",Guidelines to prevent Covid19 Transmission
2615,Risk communication,Actively communicate with healthcare professionals,Health agencies and emergency healthcare,test and treatment to be focused on vulnerable population
2617,"Case identification, contact tracing and related measures",Airport health check,Quarantine and health screening,"All travellers from Mainland China, Hong Kong and Macao"
2619,"Case identification, contact tracing and related measures",Airport health check,Health declaration,
2620,"Case identification, contact tracing and related measures",Airport health check,Test travellers with fever or symptoms,Testing at quarantine station
2621,"Case identification, contact tracing and related measures",Border health check,Health declaration,persons with travel history within the last 14 days to China
2622,"Case identification, contact tracing and related measures",Border health check,Test at the border,Incoming from Europe
2623,"Case identification, contact tracing and related measures",Border health check,Test at the border if symptomatic,incoming from USA
2624,"Case identification, contact tracing and related measures",Border health check,Test at the border if symptomatic,all travellers
2625,Travel restriction,Border restriction,Borders closed for people from Wuhan and Hubei,
2626,Travel restriction,Cancellation of international flights,partial,Asian countries
2627,Healthcare and public health capacity,Case management,Implement triage procedures,Life treatment centers
2628,Healthcare and public health capacity,Case management,Prioritize care,Severe cases hospitalized
2631,Resource allocation,Crisis management plans,Develop all-of-society and business continuity plans,financial package
2632,Risk communication,Educate and actively communicate with the public,Guidelines,Guidelines to prevent Covid19 Transmission
2633,Risk communication,Educate and actively communicate with the public,Encourage self-initiated quarantine,For people who attended a service at Shincheonji Church
2634,Risk communication,Educate and actively communicate with the public,Encourage self-initiated quarantine,For people who visited Cheongdo Daenam hospital
2635,Risk communication,Educate and actively communicate with the public,Warning against travel to and return from high risk areas,Guidelines for travellers
2636,Risk communication,Educate and actively communicate with the public,Enhance communication to the public,voluntary lockdown of affected cities and provinces
2638,Risk communication,Educate and actively communicate with the public,Respiratory etiquette,Advice for correct use of face masks
2639,Risk communication,Educate and actively communicate with the public,Scale up communication to the public,"Smartphone push alerts, blog posts and regular briefings streamed live on YouTube"
2640,Risk communication,Educate and actively communicate with the public,Enhance communication to the public,Press Release
2644,Risk communication,Educate and actively communicate with the public,Guidelines for self-quarantine,
2648,Risk communication,Educate and actively communicate with the public,Avoid indoor close-contact,Strong recommendation against close-contact indoor gatherings
2650,Risk communication,Educate and actively communicate with the public,Warning against travel to and return from high risk areas,Advice campaign for incoming travellers
2651,Risk communication,Educate and actively communicate with the public,Promote social distancing measures,
2652,Risk communication,Educate and actively communicate with the public,Answer to questions,reporters will ask questions via online group chat room
2653,Risk communication,Educate and actively communicate with the public,Encourage disinfection of the environment,Disinfection of frequently used surfaces or objects
2654,Risk communication,Educate and actively communicate with the public,Encourage self-initiated quarantine,All travellers
2657,Risk communication,Actively communicate with healthcare professionals,Provide documentation,
2658,Healthcare and public health capacity,Enhance laboratory testing,Increase testing capacity (number tests),eight additional screening clinics
2659,Social distancing,Mandatory use of masks,Symptomatic persons and health facility visitors,
2660,Social distancing,Mass gathering cancellation,Indoor activities ,
2663,"Case identification, contact tracing and related measures",Quarantine,All incomings from high-risk areas,"USA, Europe"
2664,"Case identification, contact tracing and related measures",Quarantine,Nationals who travelled to at risk areas,Nationals and residents
2666,Healthcare and public health capacity,Research,Antibody research,successfully developed a probe to detect COVID-19 antibody in the blood
2667,"Case identification, contact tracing and related measures",Restriction in testing,Only in patients with symptoms or and epidemiological link,
2668,"Case identification, contact tracing and related measures",Enhance detection system,Search for and/or monitor contacts,Epidemiological investigation
2669,"Case identification, contact tracing and related measures",Specific health channel for travellers,From high-risk areas other than China,"Italy, Iran"
2670,"Case identification, contact tracing and related measures",Specific health channel for travellers,From high-risk areas other than China,"Spain, France, UK, Germany, Netherlands"
2671,"Case identification, contact tracing and related measures",Specific health channel for travellers,From high-risk areas other than China,
2672,"Case identification, contact tracing and related measures",Tracing and monitoring,All incomings from high-risk areas,smartphone app
2673,"Case identification, contact tracing and related measures",Tracing and monitoring,cases,disclosure of spatial and temporal information 
2674,Social distancing,Work safety protocols,Businesses,
2675,Healthcare and public health capacity,Research,Vaccine and antiviral development,"162,359,803 euro for 10 years of research 2020-2029"
2676,Risk communication,Actively communicate with stakeholders,Promote hygiene measures and social distancing,Enhanced social distancing campaign (22 March - 5 April) has been been extended until 19 April
2677,Risk communication,Actively communicate with stakeholders,,Promote the 2m distance
2678,Risk communication,Actively communicate with stakeholders,,Encourage self-initiated quarantine
2679,"Case identification, contact tracing and related measures",Quarantine,Scale up the system,Police sanction if quarantine not respected
2680,Healthcare and public health capacity,Increase healthcare workforce,Protect healthcare professionals,Application date not fixed
2681,Risk communication,Actively communicate with healthcare professionals,Guidelines,Application date not fixed
2682,Healthcare and public health capacity,Increase availability of PPE,Increase domestic production,
2683,Healthcare and public health capacity,Increase availability of PPE,,Purchase of full-body PPE
2684,Healthcare and public health capacity,Increase patient capacity,Medicalise nursing home,For high-risk communities
2685,Healthcare and public health capacity,Increase patient capacity,Increase number of medical institutions,For high-risk communities
2686,Risk communication,Actively communicate with stakeholders,Promote hygiene measures and social distancing,Religious institutions
2687,Risk communication,Measures for special populations,Infection prevention/control manager,
2688,Social distancing,Measures for special populations,Vulnerable populations,Check temperature before entry in high-risks facilities/communities
2689,Risk communication,Educate and actively communicate with the public,Promote social distancing measures,Young people
2690,Risk communication,Educate and actively communicate with the public,Guidelines,For voting 10-11 April
2692,Travel restriction,Cordon sanitaire,One municipality,
2694,Healthcare and public health capacity,Enhance emergency response mechanisms,Declare sanitary emergency,
2696,Social distancing,Closure of educational institutions,Complete closure of educational institutions,Scale up the measures
2697,Social distancing,Closure of educational institutions,Partial closure of educational institutions,
2698,Social distancing,Mass gathering cancellation,Elections cancelled,
2699,Travel restriction,Outgoing domestic travel ban,Restricted domestic flights,
2700,Social distancing,Mass gathering cancellation,"Festivals, faith-based events",Holy Week Festival
2704,Travel restriction,Border restriction,Borders closed for goods coming from high-risk areas,Morocco
2705,Travel restriction,Cordon sanitaire,One hotel,
2707,Travel restriction,Denial entry to boats with more than 100 passengers,Sea connections to The Balearic Islands cease,
2721,Risk communication,Educate and actively communicate with the public,Recommendation for home office,Recommentions from the Ministry of Health
2726,Social distancing,Mass gathering cancellation,"Festivals, faith-based events",Feria de Abril
2728,Healthcare and public health capacity,Enhance emergency response mechanisms,Declare emergency state,Government of the Community of Madrid (the executive body of the region with the highest number of cases as of that date) approved extraordinary measures
2730,Travel restriction,Border restriction,Borders closed for people from high-risk areas other than China,Italy
2731,Travel restriction,Border restriction,Borders closed for people from high-risk areas other than China,Morocco
2735,Resource allocation,Crisis management plans,Implement repurpose community services plans,Financial support to GDP
2736,Resource allocation,Crisis management plans,Implement repurpose community services plans,Announcement of a package of social measures  to protect the elderly
2737,Resource allocation,Crisis management plans,Implement repurpose government plans,Interministerial Coordination Committee
2738,Resource allocation,Crisis management plans,Implement repurpose government plans,Scientific Technical Committee COVID-19
2739,Risk communication,Educate and actively communicate with the public,Activate communication to the public,Information in airplanes that land in Spain
2740,Risk communication,Educate and actively communicate with the public,"Churches should remove the holy water from the pillars, avoid the gesture of shaking hands, not kiss religious images",From the Spanish Episcopal Conference
2741,Risk communication,Educate and actively communicate with the public,,"Ministry of Health Campaign ""This Virus We Stop Together"" is launched"
2742,Risk communication,Educate and actively communicate with the public,Encourage self-initiated quarantine,For people showing symptoms
2744,Healthcare and public health capacity,Increase availability of PPE,Face masks,Increase production of masks locally
2745,Healthcare and public health capacity,Increase availability of PPE,Face masks,Donation of masks (China to Spain)
2746,Healthcare and public health capacity,Increase availability of PPE,Face masks,Distribution of masks
2748,Healthcare and public health capacity,Increase patient capacity,Medicalise nursing home,
2752,Social distancing,Mass gathering cancellation,"Conferences, meetings, trade fairs, etc.",Barcelona's�Mobile World Congress�was cancelled
2753,Social distancing,Mass gathering cancellation,"Conferences, meetings, trade fairs, etc.",Politics and at work
2754,Social distancing,Mass gathering cancellation,Sport events,Professional sport competition hold closed
2757,Travel restriction,Outgoing oversea travel ban,European Union agrees temporary restriction on travel,
2762,Social distancing,Return operation of nationals living in regions at risk,"the whole country of China , South Korea, Japan, Singapore, Iran and four regions in northern Italy: Lombardy, Veneto, Piedmont and Emilia Romagna",
2771,Healthcare and public health capacity,Reduce the burden on health systems,Restrict testing,
2778,Risk communication,Actively communicate with stakeholders,Risk assessment before an event,Safety recommendations
2779,Travel restriction,Border restriction,Borders closed for people from outside Europe,all non-citizens of EEA or Switzerland with exceptions for essential travel
2780,Travel restriction,Cancellation of international flights,Partial,Northern Italy
2781,Social distancing,Closure of educational institutions,,
2785,Risk communication,Educate and actively communicate with the public,Safety during sport practice,
2786,Risk communication,Educate and actively communicate with the public,Warning against travel to and return from risk areas,Travel to Hubei province
2787,Risk communication,Educate and actively communicate with the public,Warning against travel to and return from risk areas,Travel to  rest of China except Macao and Hong Kong
2789,Risk communication,Educate and actively communicate with the public,Warning against travel to and return from risk areas,Travel to parts of South Korea
2790,Risk communication,Educate and actively communicate with the public,Warning against travel to and return from risk areas,Travel to northern Italy
2792,Risk communication,Educate and actively communicate with the public,Warning against travel to and return from risk areas,Tyrol
2807,Risk communication,Educate and actively communicate with the public,Encourage self-initiated quarantine,Healthcare professionals with respiratory symptoms
2816,Social distancing,Mass gathering cancellation,Limit to 500 persons,
2820,Healthcare and public health capacity,Reduce the burden on health systems,Simplification of the health journey,
2833,Social distancing,Measures for special populations,Measures to limit contact to hospital patients,By law
2834,Risk communication,Educate and actively communicate with the public,Discourage non-essential travels,Measure extended
2839,Travel restriction,Train transport restrictions,Reduction in service,
2847,Travel restriction,Border restriction,Borders closed for people from high-risk areas other than China,"Italy, exception cross-border workers, goods transport, swiss citizens or residents, transit, and exceptional cases"
2848,Travel restriction,Border restriction,Borders closed for people from high-risk areas other than China,"Italy, Germany, France,  Austria"
2849,Travel restriction,Border restriction,Borders closed for people from high-risk areas other than China,"Italy, Germany, France,  Austria, Spain"
2850,Travel restriction,Border restriction,Borders closed for people from high-risk areas other than China,"Italy, Germany, France,  Austria, Spain, and all States outside Schengen Area"
2855,Risk communication,Educate and actively communicate with the public,Enhance communication to the public,smartphone app
2857,Risk communication,Educate and actively communicate with the public,Promote the 2m distance,flyers
2858,Risk communication,Educate and actively communicate with the public,Warning against travel to and return from risk areas,Israel
2860,Risk communication,Educate and actively communicate with the public,Warning against travel to and return from risk areas,world wide
2861,Risk communication,Educate and actively communicate with the public,Warning against travel to and return from risk areas,France
2862,Risk communication,Educate and actively communicate with the public,,flyers
2865,Risk communication,Educate and actively communicate with the public,Encourage hand hygiene,flyers
2870,Social distancing,Mandatory use of masks,In special cases,
2877,Social distancing,Mass gathering cancellation,Sport events,Eishockey
2879,Social distancing,Measures for special populations,Mandatory home office,for vulnerable people if working place not safe
2880,Social distancing,Measures for special populations,Measures to limit contact to the elderly,flyers
2882,Social distancing,Measures for special populations,More exposed professionals (not healthcare),"construction site workers, industry workers"
2883,Social distancing,Measures for special populations,,persons that belong to risks groups not to be burdened with child care
2885,Healthcare and public health capacity,Reduce the burden on health systems,Promote self-initiated isolation of people with mild respiratory symptoms,flyers
2887,Social distancing,Return operation of nationals living in regions at risk,Brazil,
2888,Social distancing,Return operation of nationals living in regions at risk,Costa Rica,
2890,Social distancing,Return operation of nationals living in regions at risk,Morocco,
2891,Social distancing,Return operation of nationals living in regions at risk,North Korea,
2892,Social distancing,Return operation of nationals living in regions at risk,"Peru, Colombia",
2893,Social distancing,Return operation of nationals living in regions at risk,,
2900,Social distancing,Small gathering cancellation,Limit up to 5 persons,Outdoors
2901,Social distancing,Small gathering cancellation,,"Restaurants, Bars und Diskotheken limit up to 50"
2902,"Case identification, contact tracing and related measures",Specific health channel for travellers,From high-risk areas other than China,"Germany, France, Italy, Austria, Spain"
2905,Risk communication,Actively communicate with stakeholders,Answer to questions,Telephone hotlines covid-19
2906,"Case identification, contact tracing and related measures",Border health check,Health screening,
2907,Travel restriction,Border restriction,Italy,
2908,Travel restriction,Border restriction,Strenghten the restriction,Italy
2913,Risk communication,Educate and actively communicate with the public,Activate communication to the public,press release
2915,Risk communication,Educate and actively communicate with the public,Answer to questions,educational video by cantonal doctor
2918,Risk communication,Educate and actively communicate with the public,Scale up communication to the public,Social media
2919,Risk communication,Educate and actively communicate with the public,,"do not show up to your doctor, but call doctor if travelled to high risk area within the last 14 days and have respiratory signs/fever"
2922,Environmental measures,Environmental cleaning and disinfection,Public transport,
2924,Social distancing,Mass gathering cancellation,All public and private events,
2925,Social distancing,Mass gathering cancellation,Limit up to 150 persons,
2928,Social distancing,Measures for special populations,Measures to limit contact to hospital patients,Restrictions to hopital visitors
2930,Social distancing,Measures for special populations,Measures to limit contact to long-term care facilities,Restrictions for visitors
2932,Social distancing,Work safety protocols,Vulnerable populations,
2933,Social distancing,Measures for special populations,,
2934,Healthcare and public health capacity,Reduce the burden on health systems,Health hotline,
2939,Social distancing,Small gathering cancellation,Closure of restaurants/bars/cafes,partial
2940,Social distancing,Small gathering cancellation,Limit up to 50 persons,
2950,Travel restriction,Airport restriction,Denial entry of travellers from high risk areas other than China,Doha/Qatar
2954,Travel restriction,Border restriction,Denial entry of travellers from high risk areas other than China,"Iraq, Jordan"
2955,Travel restriction,Border restriction,Denial entry of travellers from high risk areas other than China,all countries where state of epidemics is declared
2965,Environmental measures,Environmental cleaning and disinfection,Public Transport,
2970,Social distancing,Small gathering cancellation,(unspecified),
2973,Risk communication,Actively communicate with stakeholders,Provides recommendation for business continuity,
2975,"Case identification, contact tracing and related measures",Airport health check,Health certificate requested,Travelers from China
2977,"Case identification, contact tracing and related measures",Airport health check,Test travellers with fever or symptoms,
2978,Travel restriction,Airport restriction,Denial entry of travellers from China,Chinese national
2979,Travel restriction,Airport restriction,Denial entry of travellers from high risk areas other than China,Hong Kong or Macau
2981,Travel restriction,Airport restriction,Denial entry of travellers from Wuhan,Entry permits canceled for 459 tourists from Wuhan set to arrive later in January
2982,Travel restriction,Airport restriction,Denial entry of Wuhan residents,Borders closed for people from Wuhan
2983,Travel restriction,Airport restriction,Transiting Taiwan by air not allowed,
2984,"Case identification, contact tracing and related measures",Border health check,Health certificate requested,Health certificate for travellers from China
2985,"Case identification, contact tracing and related measures",Border health check,Health certificate requested,Health certificate for all travellers
2991,Travel restriction,Border restriction,Borders closed to all non-citizens,only exceptional cases allowed
2992,Travel restriction,Border restriction,Denial entry of travellers from high risk areas other than China,Denial entry of Hongkong and Macau residents
2993,Travel restriction,Border restriction,Denial entry of travellers from high risk areas other than China,MS Westerdam
2994,Social distancing,Closure of educational institutions,Closure of kindergardens,
2996,Social distancing,Closure of educational institutions,"Closure of universities, research institutions",
2998,Travel restriction,Denial entry to boats with more than 100 passengers,All international cruise ships,
2999,Travel restriction,Denial entry to boats with more than 100 passengers,"With history of travel to China, Hong Kong, or Macau","Cruise ships with previous dockings in China, Hong Kong, or Macau in past 14 days are banned"
3000,Travel restriction,Denial entry to boats with more than 100 passengers,With suspected cases or from China,Cruise ships with suspected cases in past 28 days are banned
3002,Risk communication,Educate and actively communicate with the public,Communication via government official site,
3003,Risk communication,Educate and actively communicate with the public,Communication via social media,
3004,Risk communication,Educate and actively communicate with the public,"Communication via TV, radio",
3005,Risk communication,Educate and actively communicate with the public,Daily press conference,Press and internet
3011,Risk communication,Educate and actively communicate with the public,Warning against travel to and return from risk areas,Self-health management after returning from countries with level 1 and 2 warning
3012,Risk communication,Educate and actively communicate with the public,Warning against travel to and return from risk areas,"all countries raised at level 3 Travel warning, 14 days home quarantine upon arrival in Taiwan"
3013,Healthcare and public health capacity,Enhance emergency response mechanisms,Set up crisis units,Central Epidemic Command Center activated
3016,Healthcare and public health capacity,Increase availability of PPE,Population can order online face masks through a rationing system,
3017,Healthcare and public health capacity,Increase healthcare workforce,Travelling ban for healthcare professionals,
3019,Healthcare and public health capacity,Increase availability of PPE,Prohibition of export of protective personal equipment,Surgical masks
3020,Healthcare and public health capacity,Increase availability of PPE,Prohibition of export of protective personal equipment,Surgical masks: export ban extended
3021,Healthcare and public health capacity,Enhance laboratory testing,Increase testing capacity (number tests),Testing of COVID-19 to take place at Taiwan CDC or eight designated hospitals
3022,Healthcare and public health capacity,Enhance laboratory testing,Test cases and suspected cases,Tour groups from Wuhan to depart Taiwan
3023,"Case identification, contact tracing and related measures",Enhance detection system,"All hospitals, clinics, and pharmacies have access to patients� travel histories",
3024,"Case identification, contact tracing and related measures",Enhance detection system,Including results for National Health Insurance Taiwan,
3026,Environmental measures,Environmental cleaning and disinfection,Educational institutes and transporations,
3027,"Case identification, contact tracing and related measures",Quarantine,Home quarantine for all incoming people,
3031,Social distancing,Mass gathering cancellation,Sport events,outdoor races
3033,"Case identification, contact tracing and related measures",Quarantine,All incomings from high-risk areas,South Korea
3034,"Case identification, contact tracing and related measures",Quarantine,Quarantine People who travelled to China or high-risk areasall incoming foreigners from one country,South Korea
3035,Resource allocation,Rationing PPE for population,Masks,
3036,"Case identification, contact tracing and related measures",Enhance detection system,Research and test of contacts,Contacts traced for Diamond Princess cruise ship passengers who disembarked in Taiwan on Jan 31
3041,Social distancing,Return operation of nationals living in regions at risk,MS Westerdam,Quarantine
3042,Healthcare and public health capacity,Increase availability of PPE,Face masks,Surgical masks: requisition
3046,Healthcare and public health capacity,Increase availability of PPE,Face masks,NHIA allows foreigners without NHI cards to use passports to purchase masks unless they are on a tourist visa
3049,Healthcare and public health capacity,Scale up emergency response mechanisms,Mobilize other forces,National Security Council collaborates with ministries in different sectors
3051,"Case identification, contact tracing and related measures",Scale up the system,Police and army control and sanctions,Fines when home quarantine broken
3054,"Case identification, contact tracing and related measures",Specific health channel for travellers,All foreigners,Foreigners must see an immigration officer and cannot use e-Gate (quick entry)
3055,"Case identification, contact tracing and related measures",Surveillance,Use existing respiratory disease surveillance systems and hospital-based surveillance,Cases of severe influenza that tested negative for influenza since Jan 31 to be retested for COVID-19
3056,Travel restriction,Travel restriction to high-risk areas,China,Tour groups departure
3057,"Case identification, contact tracing and related measures",Tracing and monitoring,Nationals who travelled to at risk areas,Quarantine
3058,"Case identification, contact tracing and related measures",Tracing and monitoring,Electronic monitoring of quarantined individuals via government-issued cell phones,
3059,"Case identification, contact tracing and related measures",Tracing and monitoring,Immigration health declaration card (including online reporting system),suspected cases will be notified by SMS
3061,"Case identification, contact tracing and related measures",Tracing and monitoring,Monitoring quarantine individuals via cell phone,
3062,Risk communication,Travel alert,China (except Hong Kong and Macau): Level 3 travel alert,
